	Filenames	Class
0	AltoFlute.vib.A3.L.wav	1
1	AltoFlute.vib.A3.R.wav	1
2	AltoFlute.vib.A4.L.wav	1
3	AltoFlute.vib.A4.R.wav	1
4	AltoFlute.vib.A5.L.wav	1
5	AltoFlute.vib.A5.R.wav	1
6	AltoFlute.vib.Ab3.L.wav	1
7	AltoFlute.vib.Ab3.R.wav	1
8	AltoFlute.vib.Ab4.L.wav	1
9	AltoFlute.vib.Ab4.R.wav	1
10	AltoFlute.vib.Ab5.L.wav	1
11	AltoFlute.vib.Ab5.R.wav	1
12	AltoFlute.vib.B3.L.wav	1
13	AltoFlute.vib.B3.R.wav	1
14	AltoFlute.vib.B4.L.wav	1
15	AltoFlute.vib.B4.R.wav	1
16	AltoFlute.vib.B5.L.wav	1
17	AltoFlute.vib.B5.R.wav	1
18	AltoFlute.vib.Bb3.L.wav	1
19	AltoFlute.vib.Bb3.R.wav	1
20	AltoFlute.vib.Bb4.L.wav	1
21	AltoFlute.vib.Bb4.R.wav	1
22	AltoFlute.vib.Bb5.L.wav	1
23	AltoFlute.vib.Bb5.R.wav	1
24	AltoFlute.vib.C4.L.wav	1
25	AltoFlute.vib.C4.R.wav	1
26	AltoFlute.vib.C5.L.wav	1
27	AltoFlute.vib.C5.R.wav	1
28	AltoFlute.vib.C6.L.wav	1
29	AltoFlute.vib.C6.R.wav	1
30	AltoFlute.vib.D4.L.wav	1
31	AltoFlute.vib.D4.R.wav	1
32	AltoFlute.vib.D5.L.wav	1
33	AltoFlute.vib.D5.R.wav	1
34	AltoFlute.vib.D6.L.wav	1
35	AltoFlute.vib.D6.R.wav	1
36	AltoFlute.vib.Db4.L.wav	1
37	AltoFlute.vib.Db4.R.wav	1
38	AltoFlute.vib.Db5.L.wav	1
39	AltoFlute.vib.Db5.R.wav	1
40	AltoFlute.vib.Db6.L.wav	1
41	AltoFlute.vib.Db6.R.wav	1
42	AltoFlute.vib.E4.L.wav	1
43	AltoFlute.vib.E4.R.wav	1
44	AltoFlute.vib.E5.L.wav	1
45	AltoFlute.vib.E5.R.wav	1
46	AltoFlute.vib.Eb4.L.wav	1
47	AltoFlute.vib.Eb4.R.wav	1
48	AltoFlute.vib.Eb5.L.wav	1
49	AltoFlute.vib.Eb5.R.wav	1
50	AltoFlute.vib.Eb6.L.wav	1
51	AltoFlute.vib.Eb6.R.wav	1
52	AltoFlute.vib.F4.L.wav	1
53	AltoFlute.vib.F4.R.wav	1
54	AltoFlute.vib.F5.L.wav	1
55	AltoFlute.vib.F5.R.wav	1
56	AltoFlute.vib.F6.L.wav	1
57	AltoFlute.vib.F6.R.wav	1
58	AltoFlute.vib.G3.L.wav	1
59	AltoFlute.vib.G3.R.wav	1
60	AltoFlute.vib.G4.L.wav	1
61	AltoFlute.vib.G4.R.wav	1
62	AltoFlute.vib.G5.L.wav	1
63	AltoFlute.vib.G5.R.wav	1
64	AltoFlute.vib.G6.L.wav	1
65	AltoFlute.vib.G6.R.wav	1
