,Fullpath,Label,JARVIS,VISION,ULTRON
0,C:/Users/Landon/Documents/wav_audio/Vibraphone.bow.B3.L.wav,21.0,14.0,9.0,14.0
1,C:/Users/Landon/Documents/wav_audio/Vibraphone.sustain.E3.R.wav,21.0,14.0,21.0,14.0
2,C:/Users/Landon/Documents/wav_audio/Trumpet.novib.Bb3.R.wav,19.0,14.0,19.0,14.0
3,C:/Users/Landon/Documents/wav_audio/Vibraphone.shortsustain.G5.L.wav,21.0,14.0,21.0,14.0
4,C:/Users/Landon/Documents/wav_audio/Marimba.rubber.C5.R.wav,14.0,14.0,14.0,14.0
5,C:/Users/Landon/Documents/wav_audio/Oboe.A4.L.wav,15.0,14.0,21.0,14.0
6,C:/Users/Landon/Documents/wav_audio/SopSax.nonvib.Gb4.R.wav,17.0,14.0,2.0,14.0
7,C:/Users/Landon/Documents/wav_audio/SopSax.nonvib.Db4.R.wav,17.0,14.0,1.0,14.0
8,C:/Users/Landon/Documents/wav_audio/BassFlute.D3.R.wav,4.0,14.0,9.0,14.0
9,C:/Users/Landon/Documents/wav_audio/Violin.arco.sulA.Gb5.R.wav,23.0,14.0,19.0,14.0
10,C:/Users/Landon/Documents/wav_audio/Xylophone.rosewood.Db7.L.wav,24.0,14.0,14.0,14.0
11,C:/Users/Landon/Documents/wav_audio/BassTrombone.Gb1.R.wav,6.0,14.0,14.0,14.0
12,C:/Users/Landon/Documents/wav_audio/Bass.arco.sulA.B2.R.wav,2.0,14.0,2.0,14.0
13,C:/Users/Landon/Documents/wav_audio/Cello.arco.sulA.Bb3.R.wav,9.0,14.0,9.0,14.0
14,C:/Users/Landon/Documents/wav_audio/Flute.nonvib.B4.R.wav,12.0,14.0,5.0,14.0
15,C:/Users/Landon/Documents/wav_audio/Tuba.Bb3.L.wav,20.0,14.0,9.0,14.0
16,C:/Users/Landon/Documents/wav_audio/Xylophone.hardrubber.Eb6.L.wav,24.0,14.0,14.0,14.0
17,C:/Users/Landon/Documents/wav_audio/Vibraphone.shortsustain.C3.L.wav,21.0,14.0,14.0,14.0
18,C:/Users/Landon/Documents/wav_audio/bells.brass.D8.R.wav,8.0,14.0,8.0,14.0
19,C:/Users/Landon/Documents/wav_audio/Trumpet.vib.C5.L.wav,19.0,14.0,23.0,14.0
20,C:/Users/Landon/Documents/wav_audio/Violin.arco.sulA.A4.R.wav,23.0,14.0,21.0,14.0
21,C:/Users/Landon/Documents/wav_audio/Oboe.Bb3.R.wav,15.0,14.0,0.0,14.0
22,C:/Users/Landon/Documents/wav_audio/Vibraphone.sustain.E4.L.wav,21.0,14.0,9.0,14.0
23,C:/Users/Landon/Documents/wav_audio/Marimba.cord.E4.R.wav,14.0,14.0,14.0,14.0
24,C:/Users/Landon/Documents/wav_audio/Bassoon.Bb2.R.wav,5.0,14.0,17.0,14.0
25,C:/Users/Landon/Documents/wav_audio/Flute.vib.B4.R.wav,12.0,14.0,5.0,14.0
26,C:/Users/Landon/Documents/wav_audio/Marimba.yarn.G4.R.wav,14.0,14.0,14.0,14.0
27,C:/Users/Landon/Documents/wav_audio/Trumpet.vib.A5.R.wav,19.0,14.0,12.0,14.0
28,C:/Users/Landon/Documents/wav_audio/Flute.vib.G4.R.wav,12.0,14.0,15.0,14.0
29,C:/Users/Landon/Documents/wav_audio/bells.brass.Ab6.L.wav,8.0,14.0,14.0,14.0
30,C:/Users/Landon/Documents/wav_audio/SopSax.vib.A4.L.wav,17.0,14.0,12.0,14.0
31,C:/Users/Landon/Documents/wav_audio/Marimba.cord.B2.R.wav,14.0,14.0,14.0,14.0
32,C:/Users/Landon/Documents/wav_audio/Flute.vib.Bb5.L.wav,12.0,14.0,21.0,14.0
33,C:/Users/Landon/Documents/wav_audio/Trumpet.vib.Ab4.R.wav,19.0,14.0,22.0,14.0
34,C:/Users/Landon/Documents/wav_audio/Marimba.cord.Gb6.R.wav,14.0,14.0,14.0,14.0
35,C:/Users/Landon/Documents/wav_audio/Horn.Eb5.L.wav,13.0,14.0,17.0,14.0
36,C:/Users/Landon/Documents/wav_audio/Horn.Ab3.L.wav,13.0,14.0,17.0,14.0
37,C:/Users/Landon/Documents/wav_audio/Viola.arco.sulA.Ab5.L.wav,22.0,14.0,12.0,14.0
38,C:/Users/Landon/Documents/wav_audio/BassFlute.D4.L.wav,4.0,14.0,7.0,14.0
39,C:/Users/Landon/Documents/wav_audio/Crotale.G7.L.wav,16.0,14.0,14.0,14.0
40,C:/Users/Landon/Documents/wav_audio/Violin.arco.sulE.A6.L.wav,23.0,14.0,7.0,14.0
41,C:/Users/Landon/Documents/wav_audio/Tuba.E3.L.wav,20.0,14.0,9.0,14.0
42,C:/Users/Landon/Documents/wav_audio/BbClarinet.E5.L.wav,7.0,14.0,22.0,14.0
