,Epoch Num,Loss Score,Precision,Recall
0,0,3.138445854,0.285714298,0.0078125
1,1,2.463623285,0.699999988,0.08203125
2,2,1.93728137,0.779069781,0.26171875
3,3,1.616503596,0.846846819,0.3671875
0,0,2.148275852,0.714285731,0.2734375
1,1,1.566683173,0.836734712,0.3203125
2,2,1.230774283,0.858974338,0.5234375
3,3,0.894618809,0.918604672,0.6171875
0,0,1.668826818,0.716129005,0.43359375
1,1,1.162488103,0.872727275,0.375
2,2,0.836736083,0.865921795,0.60546875
3,3,0.608931065,0.920000017,0.71875
0,0,1.255972862,0.773480654,0.546875
1,1,0.91949439,0.871951222,0.55859375
2,2,0.685241342,0.932960868,0.65234375
3,3,0.491053969,0.9174757,0.73828125
0,0,1.319916487,0.735576928,0.59765625
1,1,0.84765172,0.930379748,0.57421875
2,2,0.54992342,0.95811516,0.71484375
3,3,0.306313604,0.952789724,0.8671875
0,0,1.331685543,0.785087705,0.69921875
1,1,0.607343376,0.915422857,0.71875
2,2,0.462447405,0.902325571,0.7578125
3,3,0.292417705,0.93617022,0.859375
0,0,1.044142008,0.818181813,0.703125
1,1,0.608398259,0.894472361,0.6953125
2,2,0.440658092,0.934579432,0.78125
3,3,0.293191254,0.933609962,0.87890625
0,0,0.946353555,0.801724136,0.7265625
1,1,0.565943182,0.91625613,0.7265625
2,2,0.385183841,0.946188331,0.82421875
3,3,0.254175037,0.957983196,0.890625
0,0,0.722128808,0.852941155,0.79296875
1,1,0.315654069,0.943231463,0.84375
2,2,0.218495592,0.95815897,0.89453125
3,3,0.139483526,0.967999995,0.9453125
0,0,0.649722457,0.824489772,0.7890625
1,1,0.37641269,0.88936168,0.81640625
2,2,0.243019849,0.958506227,0.90234375
3,3,0.183225885,0.951219499,0.9140625
0,0,0.595455348,0.868852437,0.828125
1,1,0.330112487,0.937238514,0.875
2,2,0.224984854,0.955102026,0.9140625
3,3,0.155927032,0.96062994,0.953125
0,0,0.261264056,0.941666663,0.889763772
1,1,0.13623926,0.975609779,0.944881916
2,2,0.088138312,0.976000011,0.96062994
3,3,0.061598632,0.984126985,0.976377964
0,0,0.904584646,0.855967104,0.8125
1,1,0.338230014,0.909465015,0.86328125
2,2,0.190387338,0.943775117,0.91796875
3,3,0.139983445,0.971887529,0.9453125
0,0,0.470561087,0.887966812,0.8359375
1,1,0.247557864,0.931726933,0.90625
2,2,0.154637098,0.960159361,0.94140625
3,3,0.109307408,0.972440958,0.96484375
0,0,0.468961984,0.871999979,0.8515625
1,1,0.23598665,0.935222685,0.90234375
2,2,0.156060129,0.968379438,0.95703125
3,3,0.089952029,0.988188982,0.98046875
0,0,0.529724717,0.921810687,0.875
1,1,0.207153961,0.967078209,0.91796875
2,2,0.136926323,0.983870983,0.953125
3,3,0.101363957,0.972440958,0.96484375
0,0,0.468010247,0.911646605,0.88671875
1,1,0.193591267,0.955284536,0.91796875
2,2,0.139862895,0.960317433,0.9453125
3,3,0.097850293,0.980000019,0.95703125
0,0,0.280174911,0.916666687,0.90234375
1,1,0.153604701,0.951807201,0.92578125
2,2,0.1054857,0.968627453,0.96484375
3,3,0.082965799,0.972549021,0.96875
0,0,0.265343636,0.916996062,0.90625
1,1,0.137470782,0.952755928,0.9453125
2,2,0.09792196,0.972440958,0.96484375
3,3,0.06689769,0.984251976,0.9765625
0,0,0.151043057,0.959839344,0.93359375
1,1,0.075221568,0.976377964,0.96875
2,2,0.042561632,0.9921875,0.9921875
3,3,0.027603665,0.99609375,0.99609375
0,0,0.402815193,0.893700778,0.88671875
1,1,0.105710678,0.987999976,0.96484375
2,2,0.084987134,0.992094874,0.98046875
3,3,0.049581207,0.992156863,0.98828125
0,0,0.501753032,0.908366561,0.890625
1,1,0.294918656,0.916334689,0.8984375
2,2,0.145535067,0.960317433,0.9453125
3,3,0.078591421,0.976377964,0.96875
0,0,0.282075107,0.931726933,0.90625
1,1,0.185061768,0.952000022,0.9296875
2,2,0.090729713,0.972549021,0.96875
3,3,0.085767463,0.968627453,0.96484375
0,0,0.235311165,0.927419364,0.905511796
1,1,0.133641154,0.967999995,0.952755928
2,2,0.08819104,0.984000027,0.968503952
3,3,0.061191112,0.984126985,0.976377964
