Filepath,Int Label,Str Label,Int Prediction,Str Prediction,Confidence
C:\Users\Landon\Documents\audioWAV1\BassFlute.E5.L.wav,5,BASSFLUTE,5,BASSFLUTE,0.9202718
C:\Users\Landon\Documents\audioWAV1\Vibraphone.shortsustain.Eb5.L.wav,29,VIBRAPHONE,29,VIBRAPHONE,0.8662566
C:\Users\Landon\Documents\audioWAV2\TROMBONE.B3.1.forte.normal.wav,26,TROMBONE,26,TROMBONE,0.9878251
C:\Users\Landon\Documents\audioWAV1\Bassoon.Bb1.L.wav,6,BASSOON,6,BASSOON,0.9755012
C:\Users\Landon\Documents\audioWAV2\CORANGLAIS.As3.05.pianissimo.normal.wav,15,ENGLISHHORN,15,ENGLISHHORN,0.9098549
C:\Users\Landon\Documents\audioWAV2\CORANGLAIS.E4.05.fortissimo.normal.wav,15,ENGLISHHORN,15,ENGLISHHORN,0.98069155
C:\Users\Landon\Documents\audioWAV1\Marimba.yarn.Bb3.R.wav,21,MARIMBA,21,MARIMBA,0.8086839
C:\Users\Landon\Documents\audioWAV1\Violin.arco.sulA.D5.L.wav,31,VIOLIN,10,CELLO,0.84136957
C:\Users\Landon\Documents\audioWAV2\TUBA.D1.long.forte.normal.wav,28,TUBA,19,HORN,0.4542006
C:\Users\Landon\Documents\audioWAV1\Vibraphone.bow.Ab4.L.wav,29,VIBRAPHONE,29,VIBRAPHONE,0.85240585
C:\Users\Landon\Documents\audioWAV2\FRENCHHORN.Cs3.phrase.forte.legato.wav,19,HORN,19,HORN,0.5854338
C:\Users\Landon\Documents\audioWAV2\DOUBLEBASS.Fs3.025.mezzoforte.arconormal.wav,3,BASS,3,BASS,0.8372666
C:\Users\Landon\Documents\audioWAV2\FLUTE.D7.1.fortissimo.normal.wav,16,FLUTE,16,FLUTE,1.0
C:\Users\Landon\Documents\audioWAV2\TROMBONE.F5.025.fortissimo.normal.wav,26,TROMBONE,26,TROMBONE,0.8169355
C:\Users\Landon\Documents\audioWAV2\TUBA.Fs2.1.piano.normal.wav,28,TUBA,28,TUBA,0.99217105
C:\Users\Landon\Documents\audioWAV1\BbClarinet.Eb5.L.wav,8,BBCLARINET,8,BBCLARINET,0.98377097
C:\Users\Landon\Documents\audioWAV2\VIOLIN.B3.025.forte.arconormal.wav,31,VIOLIN,31,VIOLIN,0.86587477
C:\Users\Landon\Documents\audioWAV2\VIOLA.D3.1.mezzoforte.arcomajortrill.wav,30,VIOLA,10,CELLO,0.7550838
C:\Users\Landon\Documents\audioWAV2\CONTRABASSOON.G1.025.forte.normal.wav,12,CONTRABASSOON,12,CONTRABASSOON,0.6811797
C:\Users\Landon\Documents\audioWAV2\TROMBONE.F3.05.fortissimo.normal.wav,26,TROMBONE,26,TROMBONE,0.98320055
C:\Users\Landon\Documents\audioWAV2\DOUBLEBASS.D1.1.mezzoforte.arconormal.wav,3,BASS,3,BASS,0.7838111
C:\Users\Landon\Documents\audioWAV2\DOUBLEBASS.B2.025.mezzopiano.arconormal.wav,3,BASS,4,BASSCLARINET,0.5629434
