Fullpath,Target Int,Target Str
C:\Users\Landon\Documents\audioWAV1\Bass.arco.sulD.E3.R.wav,3,BASS
C:\Users\Landon\Documents\audioWAV1\Vibraphone.shortsustain.Bb4.R.wav,29,VIBRAPHONE
C:\Users\Landon\Documents\audioWAV1\TenorTrombone.C3.L.wav,25,TENORTROMBONE
C:\Users\Landon\Documents\audioWAV1\SopSax.vib.A4.L.wav,24,SOPSAX
C:\Users\Landon\Documents\audioWAV1\Marimba.yarn.Bb6.R.wav,21,MARIMBA
C:\Users\Landon\Documents\audioWAV1\Trumpet.vib.G3.R.wav,27,TRUMPET
C:\Users\Landon\Documents\audioWAV1\Cello.arco.sulD.Ab3.R.wav,10,CELLO
C:\Users\Landon\Documents\audioWAV1\bells.plastic.Eb5.R.wav,9,BELLS
C:\Users\Landon\Documents\audioWAV1\Marimba.cord.F6.R.wav,21,MARIMBA
C:\Users\Landon\Documents\audioWAV1\Vibraphone.shortsustain.Db5.L.wav,29,VIBRAPHONE
C:\Users\Landon\Documents\audioWAV1\Viola.arco.sulG.A4.R.wav,30,VIOLA
C:\Users\Landon\Documents\audioWAV1\bells.plastic.Gb7.R.wav,9,BELLS
C:\Users\Landon\Documents\audioWAV1\bells.plastic.Eb8.R.wav,9,BELLS
C:\Users\Landon\Documents\audioWAV1\Violin.arco.sulA.F6.L.wav,31,VIOLIN
C:\Users\Landon\Documents\audioWAV1\BassClarinet.B3.R.wav,4,BASSCLARINET
C:\Users\Landon\Documents\audioWAV1\BassFlute.B3.R.wav,5,BASSFLUTE
C:\Users\Landon\Documents\audioWAV1\Marimba.yarn.A3.R.wav,21,MARIMBA
C:\Users\Landon\Documents\audioWAV1\Horn.F3.R.wav,19,HORN
C:\Users\Landon\Documents\audioWAV1\BbClarinet.A5.L.wav,8,BBCLARINET
C:\Users\Landon\Documents\audioWAV1\Oboe.Gb4.R.wav,22,OBOE
C:\Users\Landon\Documents\audioWAV1\Viola.arco.sulG.A4.L.wav,30,VIOLA
