Filepath,Int Label,Str Label,Int Prediction,Str Prediction,Confidence
C:\Users\Landon\Documents\audioWAV1\AltoSax.NoVib.Db4.R.wav,1,ALTOSAX,1,ALTOSAX,0.9369768
C:\Users\Landon\Documents\audioWAV2\BASSCLARINET.Gs2.025.fortissimo.normal.wav,4,BASSCLARINET,4,BASSCLARINET,0.9443255
C:\Users\Landon\Documents\audioWAV2\TROMBONE.B3.15.forte.normal.wav,26,TROMBONE,26,TROMBONE,0.9762591
C:\Users\Landon\Documents\audioWAV2\CELLO.F4.15.mezzopiano.arconormal.wav,10,CELLO,10,CELLO,0.6027087
C:\Users\Landon\Documents\audioWAV2\CLARINET.Gs3.1.forte.normal.wav,11,CLARINET,11,CLARINET,0.39392757
C:\Users\Landon\Documents\audioWAV2\SAXOPHONE.E6.1.mezzoforte.normal.wav,23,SAXOPHONE,23,SAXOPHONE,0.63511693
C:\Users\Landon\Documents\audioWAV2\VIOLA.Cs4.1.fortissimo.pizznormal.wav,30,VIOLA,30,VIOLA,0.27499986
C:\Users\Landon\Documents\audioWAV2\CELLO.G5.1.fortissimo.arconormal.wav,10,CELLO,10,CELLO,0.8842212
C:\Users\Landon\Documents\audioWAV1\Xylophone.rosewood.F6.L.wav,32,XYLOPHONE,32,XYLOPHONE,0.9844243
C:\Users\Landon\Documents\audioWAV2\DOUBLEBASS.C4.1.fortissimo.arconormal.wav,3,BASS,3,BASS,0.66118515
C:\Users\Landon\Documents\audioWAV2\FRENCHHORN.A2.025.piano.normal.wav,19,HORN,19,HORN,0.602293
C:\Users\Landon\Documents\audioWAV2\CORANGLAIS.G4.1.forte.normal.wav,15,ENGLISHHORN,15,ENGLISHHORN,0.99998367
C:\Users\Landon\Documents\audioWAV2\ENGLISHHORN.Gs3.05.mezzopiano.normal.wav,15,ENGLISHHORN,15,ENGLISHHORN,0.9848401
C:\Users\Landon\Documents\audioWAV2\BASSOON.F4.05.forte.normal.wav,6,BASSOON,6,BASSOON,0.9881762
C:\Users\Landon\Documents\audioWAV2\TUBA.Cs3.1.pianissimo.normal.wav,28,TUBA,28,TUBA,0.7025801
C:\Users\Landon\Documents\audioWAV1\BbClarinet.C6.L.wav,8,BBCLARINET,8,BBCLARINET,0.960133
C:\Users\Landon\Documents\audioWAV1\Xylophone.hardrubber.G5.R.wav,32,XYLOPHONE,32,XYLOPHONE,0.86734015
C:\Users\Landon\Documents\audioWAV2\VIOLA.C7.1.piano.arconormal.wav,30,VIOLA,16,FLUTE,0.63100463
