Target Int,Target Str,Counts
0,ALTOFLUTE,62
1,ALTOSAX,115
2,BANJO,68
3,BASS,946
4,BASSCLARINET,930
5,BASSFLUTE,73
6,BASSOON,726
7,BASSTROMBONE,49
8,BBCLARINET,849
9,BELLS,149
10,CELLO,964
11,CONTRABASSOON,632
12,CROTALE,42
13,EBCLARINET,69
14,ENGLISHHORN,1248
15,FLUTE,927
16,GUITAR,102
17,HIHAT,10
18,HORN,673
19,MANDOLIN,74
20,MARIMBA,327
21,OBOE,600
22,SAWTOOTHWAVE,187
23,SAXOPHONE,664
24,SINEWAVE,183
25,SOPSAX,119
26,SQUAREWAVE,178
27,TENORTROMBONE,58
28,TRIANGLEWAVE,175
29,TROMBONE,751
30,TRUMPET,571
31,TUBA,933
32,VIBRAPHONE,297
33,VIOLA,1064
34,VIOLIN,692
35,WHITENOISE,180
36,XYLOPHONE,152
