Filepath,Int Label,Str Label,Int Prediction,Str Prediction,Confidence
C:\Users\Landon\Documents\audioWAV2\VIOLIN.As3.1.mezzoforte.arcosulponticello.wav,34,VIOLIN,34,VIOLIN,0.916316
C:\Users\Landon\Documents\audioWAV2\VIOLIN.Cs4.1.piano.arcocollegnotratto.wav,34,VIOLIN,6,BASSOON,0.49521387
C:\Users\Landon\Documents\audioSyntheticWav\TriangleWave.pure.207.6321Hz.wav,28,TRIANGLEWAVE,28,TRIANGLEWAVE,0.81323236
C:\Users\Landon\Documents\audioSyntheticWav\SquareWave.pure.1046.4Hz.wav,26,SQUAREWAVE,26,SQUAREWAVE,0.9999999
C:\Users\Landon\Documents\audioWAV2\CORANGLAIS.F3.05.forte.normal.wav,14,ENGLISHHORN,14,ENGLISHHORN,0.9999995
C:\Users\Landon\Documents\audioWAV2\BASSCLARINET.E5.1.forte.normal.wav,4,BASSCLARINET,4,BASSCLARINET,0.96753323
C:\Users\Landon\Documents\audioWAV2\VIOLA.As6.025.forte.arconormal.wav,33,VIOLA,33,VIOLA,0.9998511
C:\Users\Landon\Documents\audioWAV2\BASSCLARINET.D2.phrase.forte.tremolo.wav,4,BASSCLARINET,4,BASSCLARINET,0.90337974
C:\Users\Landon\Documents\audioWAV2\CONTRABASSOON.Cs2.1.forte.normal.wav,11,CONTRABASSOON,11,CONTRABASSOON,0.99964154
C:\Users\Landon\Documents\audioWAV2\VIOLA.Fs5.15.piano.arconormal.wav,33,VIOLA,10,CELLO,0.4641131
C:\Users\Landon\Documents\audioWAV2\FRENCHHORN.G2.025.piano.normal.wav,18,HORN,18,HORN,0.9916932
C:\Users\Landon\Documents\audioWAV2\ENGLISHHORN.F4.15.forte.normal.wav,14,ENGLISHHORN,14,ENGLISHHORN,0.9973634
C:\Users\Landon\Documents\audioSyntheticWav\SquareWave.pure.3135.6571Hz.wav,26,SQUAREWAVE,26,SQUAREWAVE,1.0
C:\Users\Landon\Documents\audioWAV2\FRENCHHORN.Gs4.1.fortissimo.normal.wav,18,HORN,18,HORN,0.9999362
C:\Users\Landon\Documents\audioWAV1\bells.brass.B6.R.wav,9,BELLS,9,BELLS,1.0
C:\Users\Landon\Documents\audioWAV2\BASSCLARINET.D5.15.piano.normal.wav,4,BASSCLARINET,4,BASSCLARINET,0.9999726
C:\Users\Landon\Documents\audioWAV2\FRENCHHORN.A2.1.mezzoforte.normal.wav,18,HORN,18,HORN,0.9995048
C:\Users\Landon\Documents\audioWAV2\TROMBONE.D6.025.forte.normal.wav,29,TROMBONE,29,TROMBONE,0.9358701
C:\Users\Landon\Documents\audioWAV2\CLARINET.D3.1.piano.normal.wav,8,BBCLARINET,8,BBCLARINET,0.9996117
C:\Users\Landon\Documents\audioWAV2\CLARINET.Gs4.1.pianissimo.normal.wav,8,BBCLARINET,8,BBCLARINET,0.96181786
C:\Users\Landon\Documents\audioWAV2\TUBA.Ds3.15.piano.normal.wav,31,TUBA,31,TUBA,0.99989426
C:\Users\Landon\Documents\audioWAV2\CLARINET.Gs4.05.pianissimo.normal.wav,8,BBCLARINET,8,BBCLARINET,0.99700063
C:\Users\Landon\Documents\audioWAV2\FRENCHHORN.As1.phrase.mezzoforte.staccato.wav,18,HORN,18,HORN,0.937994
C:\Users\Landon\Documents\audioWAV2\CLARINET.Fs5.025.pianissimo.normal.wav,8,BBCLARINET,8,BBCLARINET,0.99991477
C:\Users\Landon\Documents\audioWAV2\VIOLA.A5.phrase.mezzoforte.arcolegato.wav,33,VIOLA,33,VIOLA,0.86733276
C:\Users\Landon\Documents\audioWAV2\SAXOPHONE.A4.1.forte.normal.wav,23,SAXOPHONE,23,SAXOPHONE,0.9676019
C:\Users\Landon\Documents\audioWAV2\SAXOPHONE.D6.05.forte.normal.wav,23,SAXOPHONE,23,SAXOPHONE,0.9891382
C:\Users\Landon\Documents\audioWAV1\Vibraphone.dampen.B3.L.wav,32,VIBRAPHONE,32,VIBRAPHONE,0.9304294
C:\Users\Landon\Documents\audioWAV2\BASSOON.Gs2.long.forte.majortrill.wav,6,BASSOON,6,BASSOON,0.9955384
C:\Users\Landon\Documents\audioWAV2\TROMBONE.F4.1.pianissimo.normal.wav,29,TROMBONE,29,TROMBONE,0.9962022
C:\Users\Landon\Documents\audioWAV2\DOUBLEBASS.A2.1.moltopianissimo.arconormal.wav,3,BASS,3,BASS,0.9981152
C:\Users\Landon\Documents\audioSyntheticWav\TriangleWave.pure.97.9893Hz.wav,28,TRIANGLEWAVE,28,TRIANGLEWAVE,0.5608801
C:\Users\Landon\Documents\audioWAV2\CELLO.Gs3.025.mezzopiano.arconormal.wav,10,CELLO,10,CELLO,0.96535605
C:\Users\Landon\Documents\audioWAV2\CONTRABASSOON.B2.15.forte.normal.wav,11,CONTRABASSOON,11,CONTRABASSOON,0.99674267
C:\Users\Landon\Documents\audioSyntheticWav\SawtoothWave.pure.2033.222Hz.wav,22,SAWTOOTHWAVE,22,SAWTOOTHWAVE,0.9822618
C:\Users\Landon\Documents\audioWAV2\VIOLA.D4.025.pianissimo.arconormal.wav,33,VIOLA,33,VIOLA,0.7011504
C:\Users\Landon\Documents\audioWAV2\FLUTE.As5.025.pianissimo.normal.wav,15,FLUTE,15,FLUTE,0.9753262
C:\Users\Landon\Documents\audioSyntheticWav\SawtoothWave.pure.69.2889Hz.wav,22,SAWTOOTHWAVE,22,SAWTOOTHWAVE,0.9994041
C:\Users\Landon\Documents\audioWAV1\Horn.Bb2.L.wav,18,HORN,18,HORN,0.6647804
C:\Users\Landon\Documents\audioWAV2\VIOLA.D3.1.mezzoforte.arcomajortrill.wav,33,VIOLA,10,CELLO,0.5717537
C:\Users\Landon\Documents\audioWAV2\DOUBLEBASS.Ds3.025.mezzoforte.arconormal.wav,3,BASS,3,BASS,0.9876539
C:\Users\Landon\Documents\audioWAV2\TROMBONE.As3.15.piano.normal.wav,29,TROMBONE,29,TROMBONE,0.95520204
C:\Users\Landon\Documents\audioWAV2\CLARINET.C5.1.pianissimo.normal.wav,8,BBCLARINET,8,BBCLARINET,0.98036546
C:\Users\Landon\Documents\audioNoiseWAV\WhiteNoise.55.wav,35,WHITENOISE,35,WHITENOISE,0.9999994
C:\Users\Landon\Documents\audioWAV2\BASSOON.As2.025.forte.normal.wav,6,BASSOON,6,BASSOON,0.9711661
C:\Users\Landon\Documents\audioWAV2\SAXOPHONE.E5.025.fortissimo.normal.wav,23,SAXOPHONE,23,SAXOPHONE,0.9191365
