Target Int,Target Str,Counts
0,ALTOFLUTE,72
1,ALTOSAX,128
2,BANJO,74
3,BASS,1060
4,BASSCLARINET,1036
5,BASSFLUTE,76
6,BASSOON,800
7,BASSTROMBONE,54
8,BBCLARINET,938
9,BELLS,164
10,CELLO,1079
11,CONTRABASSOON,710
12,CROTALE,50
13,EBCLARINET,78
14,ENGLISHHORN,1382
15,FLUTE,1032
16,GUITAR,106
17,HIHAT,10
18,HORN,740
19,MANDOLIN,80
20,MARIMBA,364
21,OBOE,666
22,SAWTOOTHWAVE,200
23,SAXOPHONE,732
24,SINEWAVE,200
25,SOPSAX,128
26,SQUAREWAVE,200
27,TENORTROMBONE,66
28,TRIANGLEWAVE,200
29,TROMBONE,831
30,TRUMPET,627
31,TUBA,1046
32,VIBRAPHONE,334
33,VIOLA,1173
34,VIOLIN,787
35,WHITENOISE,200
36,XYLOPHONE,176
