Target Int,Target Str,Counts
0,ALTOFLUTE,64
1,ALTOSAX,117
2,BANJO,67
3,BASS,942
4,BASSCLARINET,937
5,BASSFLUTE,72
6,BASSOON,719
7,BASSTROMBONE,44
8,BBCLARINET,855
9,BELLS,144
10,CELLO,970
11,CONTRABASSOON,639
12,CROTALE,45
13,EBCLARINET,71
14,ENGLISHHORN,1244
15,FLUTE,942
16,GUITAR,90
17,HIHAT,7
18,HORN,653
19,MANDOLIN,72
20,MARIMBA,335
21,OBOE,594
22,SAWTOOTHWAVE,178
23,SAXOPHONE,661
24,SINEWAVE,181
25,SOPSAX,111
26,SQUAREWAVE,175
27,TENORTROMBONE,60
28,TRIANGLEWAVE,183
29,TROMBONE,745
30,TRUMPET,565
31,TUBA,934
32,VIBRAPHONE,301
33,VIOLA,1073
34,VIOLIN,709
35,WHITENOISE,182
36,XYLOPHONE,159
