Filepath,Int Label,Str Label,Int Prediction,Str Prediction,Confidence
C:\Users\Landon\Documents\audioWAV2\OBOE.F4.025.fortissimo.normal.wav,21,OBOE,21,OBOE,0.609309
C:\Users\Landon\Documents\audioSyntheticWav\SawtoothWave.pure.604.4805Hz.wav,22,SAWTOOTHWAVE,22,SAWTOOTHWAVE,0.86121863
C:\Users\Landon\Documents\audioWAV2\BASSCLARINET.A2.15.pianissimo.normal.wav,4,BASSCLARINET,10,CELLO,0.41898602
C:\Users\Landon\Documents\audioWAV2\CELLO.C4.05.pianissimo.arconormal.wav,10,CELLO,33,VIOLA,0.62416095
C:\Users\Landon\Documents\audioWAV2\DOUBLEBASS.F3.05.moltopianissimo.arconormal.wav,3,BASS,33,VIOLA,0.30712086
C:\Users\Landon\Documents\audioWAV1\Viola.arco.sulD.D6.L.wav,33,VIOLA,33,VIOLA,0.6182636
C:\Users\Landon\Documents\audioWAV2\TROMBONE.Gs2.verylong.forte.normal.wav,29,TROMBONE,29,TROMBONE,0.24085478
C:\Users\Landon\Documents\audioWAV2\CELLO.Cs4.15.mezzopiano.arconormal.wav,10,CELLO,10,CELLO,0.802375
C:\Users\Landon\Documents\audioWAV2\FLUTE.A5.05.mezzoforte.normal.wav,15,FLUTE,33,VIOLA,0.37116677
C:\Users\Landon\Documents\audioWAV1\BbClarinet.Gb4.L.wav,8,BBCLARINET,1,ALTOSAX,0.4356587
C:\Users\Landon\Documents\audioWAV2\CLARINET.Cs6.025.fortissimo.normal.wav,8,BBCLARINET,23,SAXOPHONE,0.3301217
C:\Users\Landon\Documents\audioWAV2\TUBA.G3.05.piano.mute.wav,31,TUBA,31,TUBA,0.99720806
C:\Users\Landon\Documents\audioWAV2\ENGLISHHORN.F5.025.mezzopiano.normal.wav,14,ENGLISHHORN,21,OBOE,0.5373285
C:\Users\Landon\Documents\audioWAV2\OBOE.C4.1.forte.normal.wav,21,OBOE,21,OBOE,0.7752303
C:\Users\Landon\Documents\audioWAV2\TUBA.E4.05.mezzopiano.normal.wav,31,TUBA,31,TUBA,0.95038193
C:\Users\Landon\Documents\audioWAV2\SAXOPHONE.Fs4.025.forte.normal.wav,23,SAXOPHONE,23,SAXOPHONE,0.6997545
C:\Users\Landon\Documents\audioWAV1\BbClarinet.G5.L.wav,8,BBCLARINET,25,SOPSAX,0.3055924
C:\Users\Landon\Documents\audioWAV2\BASSCLARINET.As4.05.pianissimo.normal.wav,4,BASSCLARINET,29,TROMBONE,0.8544814
C:\Users\Landon\Documents\audioWAV2\BASSCLARINET.Fs4.phrase.forte.majortrill.wav,4,BASSCLARINET,4,BASSCLARINET,0.75261366
C:\Users\Landon\Documents\audioWAV2\VIOLA.A3.15.piano.arconormal.wav,33,VIOLA,33,VIOLA,0.63750213
C:\Users\Landon\Documents\audioSyntheticWav\SawtoothWave.pure.36.7045Hz.wav,22,SAWTOOTHWAVE,22,SAWTOOTHWAVE,0.55029494
C:\Users\Landon\Documents\audioWAV1\SopSax.vib.G4.L.wav,25,SOPSAX,25,SOPSAX,0.54895765
C:\Users\Landon\Documents\audioWAV2\TRUMPET.G4.05.pianissimo.normal.wav,30,TRUMPET,30,TRUMPET,0.79269624
C:\Users\Landon\Documents\audioWAV2\DOUBLEBASS.B1.025.fortissimo.arconormal.wav,3,BASS,3,BASS,0.933073
C:\Users\Landon\Documents\audioWAV2\FRENCHHORN.B2.025.fortissimo.normal.wav,18,HORN,23,SAXOPHONE,0.5360907
C:\Users\Landon\Documents\audioWAV1\Bass.arco.sulD.F3.L.wav,3,BASS,3,BASS,0.7418248
C:\Users\Landon\Documents\audioWAV2\TROMBONE.F4.15.forte.normal.wav,29,TROMBONE,33,VIOLA,0.24518843
C:\Users\Landon\Documents\audioWAV2\MANDOLIN.A4.verylong.forte.tremolo.wav,19,MANDOLIN,33,VIOLA,0.38507253
C:\Users\Landon\Documents\audioSyntheticWav\TriangleWave.pure.1016.611Hz.wav,28,TRIANGLEWAVE,28,TRIANGLEWAVE,0.93746996
C:\Users\Landon\Documents\audioWAV2\CLARINET.B4.05.piano.normal.wav,8,BBCLARINET,18,HORN,0.7152779
C:\Users\Landon\Documents\audioWAV1\Horn.Ab2.L.wav,18,HORN,10,CELLO,0.3442972
C:\Users\Landon\Documents\audioSyntheticWav\SawtoothWave.pure.151.1201Hz.wav,22,SAWTOOTHWAVE,22,SAWTOOTHWAVE,0.80071366
C:\Users\Landon\Documents\audioWAV1\AltoSax.vib.Eb4.L.wav,1,ALTOSAX,1,ALTOSAX,0.5529465
C:\Users\Landon\Documents\audioWAV2\ENGLISHHORN.F5.025.fortissimo.normal.wav,14,ENGLISHHORN,33,VIOLA,0.5362889
C:\Users\Landon\Documents\audioWAV2\FLUTE.D5.phrase.mezzoforte.tripletonguing.wav,15,FLUTE,15,FLUTE,0.5712013
C:\Users\Landon\Documents\audioSyntheticWav\SquareWave.pure.4977.5453Hz.wav,26,SQUAREWAVE,22,SAWTOOTHWAVE,0.9736038
C:\Users\Landon\Documents\audioWAV2\VIOLIN.As3.025.fortissimo.arconormal.wav,34,VIOLIN,34,VIOLIN,0.59720504
C:\Users\Landon\Documents\audioWAV2\VIOLA.G3.05.forte.arconormal.wav,33,VIOLA,33,VIOLA,0.87536025
C:\Users\Landon\Documents\audioWAV2\CONTRABASSOON.C3.phrase.mezzoforte.staccato.wav,11,CONTRABASSOON,11,CONTRABASSOON,0.5603868
C:\Users\Landon\Documents\audioWAV2\ENGLISHHORN.F3.05.forte.normal.wav,14,ENGLISHHORN,14,ENGLISHHORN,0.979607
C:\Users\Landon\Documents\audioWAV1\Bass.arco.sulD.Gb3.R.wav,3,BASS,3,BASS,0.57593083
C:\Users\Landon\Documents\audioWAV1\BassClarinet.Bb4.L.wav,4,BASSCLARINET,15,FLUTE,0.22579244
C:\Users\Landon\Documents\audioWAV2\TROMBONE.Ds5.025.mezzoforte.normal.wav,29,TROMBONE,4,BASSCLARINET,0.4119274
C:\Users\Landon\Documents\audioWAV2\OBOE.F5.phrase.mezzoforte.normal.wav,21,OBOE,15,FLUTE,0.5868808
