Target Int,Target Str,Counts
0,ALTOFLUTE,63
1,ALTOSAX,115
2,BANJO,64
3,BASS,929
4,BASSCLARINET,934
5,BASSFLUTE,70
6,BASSOON,720
7,BASSTROMBONE,47
8,BBCLARINET,80
9,BELLS,145
10,CELLO,973
11,CLARINET,771
12,CONTRABASSOON,620
13,CROTALE,43
14,EBCLARINET,71
15,ENGLISHHORN,1246
16,FLUTE,934
17,GUITAR,91
18,HIHAT,9
19,HORN,667
20,MANDOLIN,73
21,MARIMBA,331
22,OBOE,604
23,SAWTOOTHWAVE,178
24,SAXOPHONE,665
25,SINEWAVE,181
26,SOPSAX,116
27,SQUAREWAVE,175
28,TENORTROMBONE,58
29,TRIANGLEWAVE,181
30,TROMBONE,751
31,TRUMPET,560
32,TUBA,950
33,VIBRAPHONE,298
34,VIOLA,1064
35,VIOLIN,721
36,WHITENOISE,180
37,XYLOPHONE,161
