Target Int,Target Str,Counts
0,ALTOFLUTE,65
1,ALTOSAX,106
2,BANJO,71
3,BASS,963
4,BASSCLARINET,933
5,BASSFLUTE,68
6,BASSOON,721
7,BASSTROMBONE,50
8,BBCLARINET,84
9,BELLS,143
10,CELLO,967
11,CLARINET,760
12,CONTRABASSOON,638
13,CROTALE,43
14,EBCLARINET,69
15,ENGLISHHORN,1241
16,FLUTE,925
17,GUITAR,99
18,HIHAT,9
19,HORN,666
20,MANDOLIN,71
21,MARIMBA,326
22,OBOE,615
23,SAWTOOTHWAVE,181
24,SAXOPHONE,655
25,SINEWAVE,177
26,SOPSAX,116
27,SQUAREWAVE,181
28,TENORTROMBONE,57
29,TRIANGLEWAVE,183
30,TROMBONE,748
31,TRUMPET,564
32,TUBA,941
33,VIBRAPHONE,302
34,VIOLA,1064
35,VIOLIN,705
36,WHITENOISE,176
37,XYLOPHONE,156
