Filepath,Int Label,Str Label,Int Prediction,Str Prediction,Confidence
C:\Users\Landon\Documents\audioWAV2\CELLO.Cs4.1.forte.arconormal.wav,10,CELLO,10,CELLO,0.78730774
C:\Users\Landon\Documents\audioWAV2\SAXOPHONE.E4.05.piano.normal.wav,24,SAXOPHONE,15,ENGLISHHORN,0.31010824
C:\Users\Landon\Documents\audioWAV2\SAXOPHONE.Gs3.1.pianissimo.normal.wav,24,SAXOPHONE,24,SAXOPHONE,0.79258114
C:\Users\Landon\Documents\audioWAV2\FLUTE.G4.1.mezzoforte.normal.wav,16,FLUTE,16,FLUTE,0.99620336
C:\Users\Landon\Documents\audioWAV2\GUITAR.Fs2.verylong.forte.normal.wav,17,GUITAR,17,GUITAR,0.99948955
C:\Users\Landon\Documents\audioWAV2\VIOLA.F5.15.forte.arconormal.wav,34,VIOLA,34,VIOLA,0.99896216
C:\Users\Landon\Documents\audioWAV2\OBOE.As6.05.piano.normal.wav,22,OBOE,11,CLARINET,0.83623385
C:\Users\Landon\Documents\audioWAV2\VIOLA.Ds5.1.mezzoforte.artificialharmonic.wav,34,VIOLA,34,VIOLA,0.52147824
C:\Users\Landon\Documents\audioWAV1\Flute.nonvib.B4.L.wav,16,FLUTE,16,FLUTE,0.50469255
C:\Users\Landon\Documents\audioWAV2\DOUBLEBASS.Fs4.05.mezzoforte.arconormal.wav,3,BASS,3,BASS,0.99406755
C:\Users\Landon\Documents\audioSyntheticWav\TriangleWave.pure.659.1907Hz.wav,29,TRIANGLEWAVE,29,TRIANGLEWAVE,0.99128515
C:\Users\Landon\Documents\audioWAV1\Tuba.Eb1.L.wav,32,TUBA,4,BASSCLARINET,0.65828013
C:\Users\Landon\Documents\audioWAV2\DOUBLEBASS.G1.025.forte.arconormal.wav,3,BASS,3,BASS,0.99999475
C:\Users\Landon\Documents\audioWAV1\bells.brass.G5.R.wav,9,BELLS,9,BELLS,0.70604646
C:\Users\Landon\Documents\audioWAV2\CLARINET.Gs5.verylong.crescdecresc.normal.wav,11,CLARINET,11,CLARINET,0.85081285
C:\Users\Landon\Documents\audioWAV2\FRENCHHORN.A3.025.fortissimo.normal.wav,19,HORN,19,HORN,0.8178528
C:\Users\Landon\Documents\audioWAV2\CLARINET.Cs5.05.forte.normal.wav,11,CLARINET,11,CLARINET,0.9531972
C:\Users\Landon\Documents\audioWAV2\CLARINET.G3.15.piano.normal.wav,11,CLARINET,11,CLARINET,0.99191576
C:\Users\Landon\Documents\audioWAV2\BANJO.E5.verylong.forte.normal.wav,2,BANJO,2,BANJO,0.6869284
C:\Users\Landon\Documents\audioWAV2\SAXOPHONE.G5.15.mezzoforte.normal.wav,24,SAXOPHONE,11,CLARINET,0.6202582
C:\Users\Landon\Documents\audioWAV2\DOUBLEBASS.E2.025.mezzoforte.arconormal.wav,3,BASS,3,BASS,0.9999317
C:\Users\Landon\Documents\audioWAV2\BANJO.Gs4.verylong.forte.normal.wav,2,BANJO,2,BANJO,0.9878577
C:\Users\Landon\Documents\audioWAV2\VIOLA.C3.15.piano.arconormal.wav,34,VIOLA,34,VIOLA,0.41314074
C:\Users\Landon\Documents\audioWAV2\DOUBLEBASS.Fs4.05.pianissimo.arconormal.wav,3,BASS,34,VIOLA,0.42166895
C:\Users\Landon\Documents\audioWAV2\FRENCHHORN.A2.15.piano.normal.wav,19,HORN,19,HORN,0.95638514
C:\Users\Landon\Documents\audioWAV1\Cello.arco.sulA.Gb4.L.wav,10,CELLO,10,CELLO,0.7005638
C:\Users\Landon\Documents\audioSyntheticWav\SquareWave.pure.293.6361Hz.wav,27,SQUAREWAVE,27,SQUAREWAVE,0.999175
C:\Users\Landon\Documents\audioWAV2\FLUTE.D5.1.forte.normal.wav,16,FLUTE,16,FLUTE,0.9096111
C:\Users\Landon\Documents\audioWAV2\TUBA.A3.15.fortissimo.normal.wav,32,TUBA,32,TUBA,0.87361103
C:\Users\Landon\Documents\audioWAV2\TROMBONE.G3.15.pianissimo.normal.wav,30,TROMBONE,30,TROMBONE,0.98069465
C:\Users\Landon\Documents\audioWAV2\VIOLIN.As4.025.mezzopiano.pizzglissando.wav,35,VIOLIN,24,SAXOPHONE,0.42897528
C:\Users\Landon\Documents\audioWAV2\SAXOPHONE.Ds5.15.forte.normal.wav,24,SAXOPHONE,24,SAXOPHONE,0.5696679
C:\Users\Landon\Documents\audioWAV2\BASSOON.F2.phrase.mezzoforte.tenuto.wav,6,BASSOON,6,BASSOON,0.96245855
C:\Users\Landon\Documents\audioWAV2\BANJO.E4.verylong.forte.normal.wav,2,BANJO,2,BANJO,0.89207816
C:\Users\Landon\Documents\audioWAV1\Bassoon.Eb3.L.wav,6,BASSOON,6,BASSOON,0.9988495
C:\Users\Landon\Documents\audioSyntheticWav\SineWave.pure.179.7131Hz.wav,25,SINEWAVE,25,SINEWAVE,0.99677104
C:\Users\Landon\Documents\audioWAV2\CONTRABASSOON.C2.phrase.mezzoforte.staccatissimo.wav,12,CONTRABASSOON,12,CONTRABASSOON,0.7253163
C:\Users\Landon\Documents\audioWAV1\Marimba.cord.C3.R.wav,21,MARIMBA,21,MARIMBA,0.8156399
C:\Users\Landon\Documents\audioWAV2\TUBA.Gs3.1.mezzoforte.normal.wav,32,TUBA,32,TUBA,0.9922809
C:\Users\Landon\Documents\audioWAV2\FLUTE.C7.025.forte.normal.wav,16,FLUTE,35,VIOLIN,0.4320906
C:\Users\Landon\Documents\audioWAV2\CELLO.B5.025.pianissimo.arconormal.wav,10,CELLO,16,FLUTE,0.91053206
C:\Users\Landon\Documents\audioNoiseWAV\WhiteNoise.132.wav,36,WHITENOISE,36,WHITENOISE,0.9999809
C:\Users\Landon\Documents\audioWAV2\TRUMPET.F2.verylong.pianissimo.normal.wav,31,TRUMPET,24,SAXOPHONE,0.44831595
C:\Users\Landon\Documents\audioWAV2\CLARINET.As4.05.forte.normal.wav,11,CLARINET,11,CLARINET,0.9959722
C:\Users\Landon\Documents\audioSyntheticWav\SineWave.pure.36.7045Hz.wav,25,SINEWAVE,25,SINEWAVE,0.994592
C:\Users\Landon\Documents\audioWAV1\Marimba.cord.A5.R.wav,21,MARIMBA,21,MARIMBA,0.99026674
C:\Users\Landon\Documents\audioWAV1\Flute.vib.Bb5.R.wav,16,FLUTE,16,FLUTE,0.4383664
C:\Users\Landon\Documents\audioWAV2\TUBA.A2.1.mezzoforte.normal.wav,32,TUBA,32,TUBA,0.99962854
