Target Int,Target Str,Counts
0,ALTOFLUTE,72
1,ALTOSAX,128
2,BANJO,74
3,BASS,1060
4,BASSCLARINET,1036
5,BASSFLUTE,76
6,BASSOON,800
7,BASSTROMBONE,54
8,BBCLARINET,92
9,BELLS,164
10,CELLO,1079
11,CLARINET,846
12,CONTRABASSOON,710
13,CROTALE,50
14,EBCLARINET,78
15,ENGLISHHORN,1382
16,FLUTE,1032
17,GUITAR,106
18,HIHAT,10
19,HORN,740
20,MANDOLIN,80
21,MARIMBA,364
22,OBOE,666
23,SAWTOOTHWAVE,200
24,SAXOPHONE,732
25,SINEWAVE,200
26,SOPSAX,128
27,SQUAREWAVE,200
28,TENORTROMBONE,66
29,TRIANGLEWAVE,200
30,TROMBONE,831
31,TRUMPET,627
32,TUBA,1046
33,VIBRAPHONE,334
34,VIOLA,1173
35,VIOLIN,787
36,WHITENOISE,200
37,XYLOPHONE,176
