Target Int,Target Str,Counts
0,ALTOFLUTE,69
1,ALTOSAX,123
2,BANJO,66
3,BASS,943
4,BASSCLARINET,944
5,BASSFLUTE,69
6,BASSOON,714
7,BASSTROMBONE,49
8,BBCLARINET,84
9,BELLS,154
10,CELLO,979
11,CLARINET,753
12,CONTRABASSOON,632
13,CROTALE,43
14,EBCLARINET,71
15,ENGLISHHORN,1207
16,FLUTE,932
17,GUITAR,94
18,HIHAT,10
19,HORN,680
20,MANDOLIN,74
21,MARIMBA,329
22,OBOE,608
23,SAWTOOTHWAVE,184
24,SAXOPHONE,650
25,SINEWAVE,180
26,SOPSAX,110
27,SQUAREWAVE,183
28,TENORTROMBONE,61
29,TRIANGLEWAVE,182
30,TROMBONE,749
31,TRUMPET,567
32,TUBA,936
33,VIBRAPHONE,295
34,VIOLA,1064
35,VIOLIN,713
36,WHITENOISE,183
37,XYLOPHONE,155
