Filepath,Int Label,Str Label,Int Prediction,Str Prediction,Confidence
C:\Users\Landon\Documents\audioWAV2\BASSCLARINET.As3.15.piano.normal.wav,4,BASSCLARINET,4,BASSCLARINET,0.99625
C:\Users\Landon\Documents\audioWAV2\BASSCLARINET.Ds5.15.mezzoforte.normal.wav,4,BASSCLARINET,4,BASSCLARINET,0.99953973
C:\Users\Landon\Documents\audioWAV2\TROMBONE.C3.025.piano.normal.wav,30,TROMBONE,6,BASSOON,0.48871
C:\Users\Landon\Documents\audioWAV1\Cello.arco.sulA.D5.R.wav,10,CELLO,20,MANDOLIN,0.5292303
C:\Users\Landon\Documents\audioWAV2\ENGLISHHORN.As4.15.pianissimo.normal.wav,15,ENGLISHHORN,15,ENGLISHHORN,0.998168
C:\Users\Landon\Documents\audioWAV2\VIOLA.G5.1.fortissimo.arconormal.wav,34,VIOLA,34,VIOLA,0.7642048
C:\Users\Landon\Documents\audioWAV1\BbClarinet.E3.R.wav,8,BBCLARINET,8,BBCLARINET,0.93733954
C:\Users\Landon\Documents\audioWAV2\DOUBLEBASS.G2.05.mezzopiano.arconormal.wav,3,BASS,3,BASS,0.9787184
C:\Users\Landon\Documents\audioWAV2\BASSCLARINET.Cs5.025.forte.normal.wav,4,BASSCLARINET,4,BASSCLARINET,0.9962507
C:\Users\Landon\Documents\audioWAV2\CONTRABASSOON.D2.025.piano.normal.wav,12,CONTRABASSOON,12,CONTRABASSOON,0.9999299
C:\Users\Landon\Documents\audioWAV1\Cello.arco.sulC.G3.R.wav,10,CELLO,10,CELLO,0.5478671
C:\Users\Landon\Documents\audioWAV2\CORANGLAIS.A4.1.pianissimo.normal.wav,15,ENGLISHHORN,15,ENGLISHHORN,0.9677633
C:\Users\Landon\Documents\audioWAV2\TRUMPET.D4.long.forte.normal.wav,31,TRUMPET,35,VIOLIN,0.92945474
C:\Users\Landon\Documents\audioWAV2\OBOE.F6.15.mezzoforte.normal.wav,22,OBOE,22,OBOE,0.9627537
C:\Users\Landon\Documents\audioWAV1\Viola.arco.sulD.G4.L.wav,34,VIOLA,34,VIOLA,0.99007785
C:\Users\Landon\Documents\audioWAV2\VIOLIN.C5.1.piano.arcosultasto.wav,35,VIOLIN,35,VIOLIN,0.53996664
C:\Users\Landon\Documents\audioWAV2\TUBA.G3.05.fortissimo.normal.wav,32,TUBA,32,TUBA,0.8767589
C:\Users\Landon\Documents\audioWAV2\ENGLISHHORN.D4.phrase.mezzoforte.staccato.wav,15,ENGLISHHORN,15,ENGLISHHORN,0.9999864
C:\Users\Landon\Documents\audioWAV1\SopSax.vib.Db4.R.wav,26,SOPSAX,26,SOPSAX,0.98869085
C:\Users\Landon\Documents\audioWAV2\OBOE.Gs6.05.mezzoforte.normal.wav,22,OBOE,22,OBOE,0.99964297
C:\Users\Landon\Documents\audioWAV2\ENGLISHHORN.C5.15.mezzopiano.normal.wav,15,ENGLISHHORN,15,ENGLISHHORN,0.9988777
C:\Users\Landon\Documents\audioWAV2\VIOLA.A4.1.pianissimo.arconormal.wav,34,VIOLA,34,VIOLA,0.8895173
C:\Users\Landon\Documents\audioWAV2\DOUBLEBASS.B3.05.pianissimo.arconormal.wav,3,BASS,3,BASS,0.83341235
C:\Users\Landon\Documents\audioWAV1\Vibraphone.shortsustain.Bb3.R.wav,33,VIBRAPHONE,33,VIBRAPHONE,0.94649446
C:\Users\Landon\Documents\audioWAV1\Cello.arco.sulA.F5.L.wav,10,CELLO,10,CELLO,0.51352036
C:\Users\Landon\Documents\audioWAV2\FLUTE.F6.1.pianissimo.normal.wav,16,FLUTE,16,FLUTE,0.9993574
C:\Users\Landon\Documents\audioWAV2\CORANGLAIS.A5.1.pianissimo.normal.wav,15,ENGLISHHORN,15,ENGLISHHORN,0.99957925
C:\Users\Landon\Documents\audioWAV2\CELLO.C5.05.mezzopiano.arconormal.wav,10,CELLO,10,CELLO,0.9841294
C:\Users\Landon\Documents\audioWAV1\Vibraphone.sustain.Gb3.L.wav,33,VIBRAPHONE,33,VIBRAPHONE,0.8082444
C:\Users\Landon\Documents\audioWAV2\OBOE.E4.phrase.piano.normal.wav,22,OBOE,16,FLUTE,0.6583664
C:\Users\Landon\Documents\audioWAV1\Tuba.Db3.R.wav,32,TUBA,32,TUBA,0.9428397
C:\Users\Landon\Documents\audioSyntheticWav\TriangleWave.pure.349.1941Hz.wav,29,TRIANGLEWAVE,29,TRIANGLEWAVE,0.9622519
C:\Users\Landon\Documents\audioWAV1\Cello.arco.sulA.A3.L.wav,10,CELLO,10,CELLO,0.8699145
C:\Users\Landon\Documents\audioWAV2\CELLO.A4.phrase.mezzoforte.arcostaccato.wav,10,CELLO,10,CELLO,0.64399946
C:\Users\Landon\Documents\audioWAV2\BASSOON.E5.025.mezzopiano.normal.wav,6,BASSOON,15,ENGLISHHORN,0.8942243
C:\Users\Landon\Documents\audioWAV2\CONTRABASSOON.A2.15.piano.normal.wav,12,CONTRABASSOON,12,CONTRABASSOON,0.9721015
C:\Users\Landon\Documents\audioWAV2\FRENCHHORN.Gs3.verylong.fortissimo.normal.wav,19,HORN,19,HORN,0.67228365
C:\Users\Landon\Documents\audioWAV1\TenorTrombone.C4.R.wav,28,TENORTROMBONE,28,TENORTROMBONE,0.9899469
C:\Users\Landon\Documents\audioWAV2\FRENCHHORN.C3.05.piano.normal.wav,19,HORN,19,HORN,0.5622526
C:\Users\Landon\Documents\audioWAV2\CORANGLAIS.Cs4.025.mezzopiano.normal.wav,15,ENGLISHHORN,15,ENGLISHHORN,0.9753947
C:\Users\Landon\Documents\audioWAV2\TUBA.A1.05.piano.normal.wav,32,TUBA,32,TUBA,0.9994301
C:\Users\Landon\Documents\audioWAV2\BANJO.D5.verylong.piano.normal.wav,2,BANJO,2,BANJO,0.9998859
C:\Users\Landon\Documents\audioWAV2\SAXOPHONE.E5.1.mezzoforte.normal.wav,24,SAXOPHONE,24,SAXOPHONE,0.97402406
C:\Users\Landon\Documents\audioWAV2\TRUMPET.E4.phrase.mezzoforte.nonlegato.wav,31,TRUMPET,31,TRUMPET,0.9232147
C:\Users\Landon\Documents\audioWAV2\CLARINET.E3.1.fortissimo.normal.wav,11,CLARINET,11,CLARINET,0.9995509
C:\Users\Landon\Documents\audioWAV2\BASSCLARINET.C5.15.fortissimo.normal.wav,4,BASSCLARINET,4,BASSCLARINET,0.93579584
C:\Users\Landon\Documents\audioWAV2\DOUBLEBASS.D2.1.pianissimo.arconormal.wav,3,BASS,3,BASS,0.99610764
C:\Users\Landon\Documents\audioWAV1\Flute.nonvib.Ab6.R.wav,16,FLUTE,16,FLUTE,0.841686
C:\Users\Landon\Documents\audioWAV2\CONTRABASSOON.A1.1.forte.normal.wav,12,CONTRABASSOON,12,CONTRABASSOON,0.99971646
C:\Users\Landon\Documents\audioWAV2\CELLO.A4.1.mezzopiano.arcominortrill.wav,10,CELLO,10,CELLO,0.9840179
C:\Users\Landon\Documents\audioWAV2\VIOLA.F6.long.mezzoforte.artificialharmonic.wav,34,VIOLA,34,VIOLA,0.9996449
C:\Users\Landon\Documents\audioWAV1\Xylophone.rosewood.Ab6.R.wav,37,XYLOPHONE,37,XYLOPHONE,0.9784773
C:\Users\Landon\Documents\audioWAV1\Viola.arco.sulG.Eb4.L.wav,34,VIOLA,34,VIOLA,0.9947305
C:\Users\Landon\Documents\audioSyntheticWav\SineWave.pure.3322.1129Hz.wav,25,SINEWAVE,29,TRIANGLEWAVE,0.998509
C:\Users\Landon\Documents\audioWAV2\CORANGLAIS.Gs3.15.mezzopiano.normal.wav,15,ENGLISHHORN,15,ENGLISHHORN,0.9998629
C:\Users\Landon\Documents\audioWAV2\CELLO.E4.025.pianissimo.arconormal.wav,10,CELLO,10,CELLO,0.9894789
C:\Users\Landon\Documents\audioWAV2\FRENCHHORN.As4.1.fortissimo.normal.wav,19,HORN,19,HORN,0.9414041
C:\Users\Landon\Documents\audioWAV1\Bass.arco.sulG.Ab3.L.wav,3,BASS,3,BASS,0.9458297
C:\Users\Landon\Documents\audioSyntheticWav\SquareWave.pure.4308.2474Hz.wav,27,SQUAREWAVE,27,SQUAREWAVE,0.9999968
C:\Users\Landon\Documents\audioWAV2\CONTRABASSOON.D3.1.fortissimo.normal.wav,12,CONTRABASSOON,12,CONTRABASSOON,0.9997142
C:\Users\Landon\Documents\audioNoiseWAV\WhiteNoise.35.wav,36,WHITENOISE,36,WHITENOISE,1.0
C:\Users\Landon\Documents\audioWAV1\Cello.arco.sulC.Ab2.R.wav,10,CELLO,10,CELLO,0.8850506
C:\Users\Landon\Documents\audioWAV2\OBOE.Fs4.025.mezzoforte.normal.wav,22,OBOE,22,OBOE,0.9999629
C:\Users\Landon\Documents\audioWAV1\Marimba.cord.Db4.R.wav,21,MARIMBA,21,MARIMBA,0.99350005
