Target Int,Target Str,Counts
0,ALTOFLUTE,61
1,ALTOSAX,116
2,BANJO,65
3,BASS,950
4,BASSCLARINET,946
5,BASSFLUTE,70
6,BASSOON,704
7,BASSTROMBONE,46
8,BBCLARINET,848
9,BELLS,146
10,CELLO,955
11,CONTRABASSOON,642
12,CROTALE,45
13,EBCLARINET,72
14,ENGLISHHORN,1252
15,FLUTE,919
16,GUITAR,92
17,HIHAT,10
18,HORN,676
19,MANDOLIN,71
20,MARIMBA,325
21,OBOE,609
22,SAWTOOTHWAVE,182
23,SAXOPHONE,641
24,SINEWAVE,184
25,SOPSAX,121
26,SQUAREWAVE,179
27,TENORTROMBONE,61
28,TRIANGLEWAVE,181
29,TROMBONE,761
30,TRUMPET,559
31,TUBA,934
32,VIBRAPHONE,300
33,VIOLA,1060
34,VIOLIN,709
35,WHITENOISE,183
36,XYLOPHONE,164
