Filepath,Int Label,Str Label,Int Prediction,Str Prediction,Confidence
C:\Users\Landon\Documents\audioWAV1\Marimba.cord.Db5.L.wav,20,MARIMBA,20,MARIMBA,0.9859228
C:\Users\Landon\Documents\audioWAV2\DOUBLEBASS.Fs2.1.fortissimo.arconormal.wav,3,BASS,3,BASS,0.99872535
C:\Users\Landon\Documents\audioWAV2\CLARINET.B5.025.forte.normal.wav,8,BBCLARINET,8,BBCLARINET,0.99941397
C:\Users\Landon\Documents\audioWAV2\VIOLIN.Cs6.1.mezzoforte.naturalharmonic.wav,34,VIOLIN,33,VIOLA,0.8430955
C:\Users\Landon\Documents\audioWAV2\CONTRABASSOON.Fs2.05.mezzoforte.normal.wav,11,CONTRABASSOON,11,CONTRABASSOON,0.826265
C:\Users\Landon\Documents\audioWAV2\OBOE.B3.05.fortissimo.normal.wav,21,OBOE,21,OBOE,0.99999404
C:\Users\Landon\Documents\audioWAV2\DOUBLEBASS.F1.025.fortissimo.arconormal.wav,3,BASS,3,BASS,0.997072
C:\Users\Landon\Documents\audioWAV1\Vibraphone.shortsustain.E6.L.wav,32,VIBRAPHONE,32,VIBRAPHONE,0.97694653
C:\Users\Landon\Documents\audioWAV2\BASSOON.C3.1.forte.normal.wav,6,BASSOON,6,BASSOON,0.9988977
C:\Users\Landon\Documents\audioWAV2\SAXOPHONE.Ds6.025.forte.normal.wav,23,SAXOPHONE,4,BASSCLARINET,0.65269417
C:\Users\Landon\Documents\audioWAV2\CONTRABASSOON.G2.025.fortissimo.normal.wav,11,CONTRABASSOON,11,CONTRABASSOON,0.7812697
C:\Users\Landon\Documents\audioWAV2\CORANGLAIS.E4.15.forte.normal.wav,14,ENGLISHHORN,14,ENGLISHHORN,0.99984574
C:\Users\Landon\Documents\audioWAV2\CELLO.E4.15.forte.arconormal.wav,10,CELLO,10,CELLO,0.9826873
C:\Users\Landon\Documents\audioWAV2\CORANGLAIS.C4.1.mezzoforte.normal.wav,14,ENGLISHHORN,14,ENGLISHHORN,0.9999939
C:\Users\Landon\Documents\audioWAV1\Vibraphone.sustain.F5.L.wav,32,VIBRAPHONE,32,VIBRAPHONE,0.8953063
C:\Users\Landon\Documents\audioSyntheticWav\SquareWave.pure.538.5309Hz.wav,26,SQUAREWAVE,35,WHITENOISE,0.5535682
C:\Users\Landon\Documents\audioWAV2\FLUTE.C4.025.mezzoforte.normal.wav,15,FLUTE,15,FLUTE,0.6504586
C:\Users\Landon\Documents\audioWAV2\VIOLA.Fs4.05.forte.arconormal.wav,33,VIOLA,33,VIOLA,0.9220947
C:\Users\Landon\Documents\audioWAV1\Violin.arco.sulA.E5.L.wav,34,VIOLIN,34,VIOLIN,0.68924636
C:\Users\Landon\Documents\audioWAV2\FLUTE.E6.05.pianissimo.normal.wav,15,FLUTE,15,FLUTE,0.99999726
C:\Users\Landon\Documents\audioWAV2\BASSCLARINET.D5.1.piano.normal.wav,4,BASSCLARINET,4,BASSCLARINET,0.999597
C:\Users\Landon\Documents\audioWAV2\BASSCLARINET.Fs3.phrase.mezzoforte.staccatissimo.wav,4,BASSCLARINET,4,BASSCLARINET,0.9999887
C:\Users\Landon\Documents\audioWAV2\ENGLISHHORN.Fs5.15.pianissimo.normal.wav,14,ENGLISHHORN,14,ENGLISHHORN,0.99967706
C:\Users\Landon\Documents\audioWAV2\OBOE.E6.05.forte.normal.wav,21,OBOE,21,OBOE,0.9999608
C:\Users\Landon\Documents\audioSyntheticWav\SineWave.pure.269.2655Hz.wav,24,SINEWAVE,24,SINEWAVE,0.99921954
C:\Users\Landon\Documents\audioWAV1\Bass.arco.sulE.Bb2.L.wav,3,BASS,3,BASS,0.99996316
C:\Users\Landon\Documents\audioWAV1\AltoFlute.vib.Bb5.L.wav,0,ALTOFLUTE,0,ALTOFLUTE,0.9982293
C:\Users\Landon\Documents\audioWAV2\CELLO.E5.1.forte.arconormal.wav,10,CELLO,10,CELLO,0.98882884
C:\Users\Landon\Documents\audioWAV2\CONTRABASSOON.As2.1.mezzoforte.normal.wav,11,CONTRABASSOON,11,CONTRABASSOON,0.9950742
C:\Users\Landon\Documents\audioWAV2\FLUTE.Cs7.15.piano.normal.wav,15,FLUTE,15,FLUTE,0.7557707
C:\Users\Landon\Documents\audioWAV2\VIOLA.C3.1.fortissimo.snappizz.wav,33,VIOLA,34,VIOLIN,0.54638016
C:\Users\Landon\Documents\audioWAV2\CORANGLAIS.D5.025.forte.normal.wav,14,ENGLISHHORN,14,ENGLISHHORN,0.9951292
C:\Users\Landon\Documents\audioWAV2\TRUMPET.E3.15.pianissimo.normal.wav,30,TRUMPET,30,TRUMPET,0.6756859
C:\Users\Landon\Documents\audioWAV2\TROMBONE.As3.15.mezzoforte.normal.wav,29,TROMBONE,29,TROMBONE,0.9612919
C:\Users\Landon\Documents\audioWAV1\Violin.arco.sulA.E6.R.wav,34,VIOLIN,34,VIOLIN,0.9890021
C:\Users\Landon\Documents\audioWAV2\DOUBLEBASS.Ds4.15.mezzoforte.arconormal.wav,3,BASS,3,BASS,0.99039966
C:\Users\Landon\Documents\audioWAV2\TRUMPET.D4.05.forte.normal.wav,30,TRUMPET,30,TRUMPET,0.99949586
C:\Users\Landon\Documents\audioWAV2\FLUTE.G5.025.pianissimo.normal.wav,15,FLUTE,15,FLUTE,0.9986731
C:\Users\Landon\Documents\audioWAV2\BASSCLARINET.As3.025.fortissimo.normal.wav,4,BASSCLARINET,4,BASSCLARINET,0.98760843
C:\Users\Landon\Documents\audioWAV2\TUBA.Gs2.1.mezzopiano.mute.wav,31,TUBA,31,TUBA,0.99667764
C:\Users\Landon\Documents\audioWAV2\CLARINET.B6.05.piano.normal.wav,8,BBCLARINET,8,BBCLARINET,0.99999964
C:\Users\Landon\Documents\audioWAV2\BASSCLARINET.Cs2.05.forte.normal.wav,4,BASSCLARINET,4,BASSCLARINET,0.9937471
C:\Users\Landon\Documents\audioWAV2\FRENCHHORN.A4.05.mezzoforte.normal.wav,18,HORN,18,HORN,0.9932922
C:\Users\Landon\Documents\audioWAV2\BASSCLARINET.B2.1.fortissimo.normal.wav,4,BASSCLARINET,4,BASSCLARINET,0.9590803
C:\Users\Landon\Documents\audioWAV2\SAXOPHONE.Ds5.05.fortissimo.normal.wav,23,SAXOPHONE,23,SAXOPHONE,0.9932249
C:\Users\Landon\Documents\audioWAV2\TUBA.Fs2.05.piano.normal.wav,31,TUBA,31,TUBA,0.9674567
C:\Users\Landon\Documents\audioSyntheticWav\TriangleWave.pure.61.7294Hz.wav,28,TRIANGLEWAVE,24,SINEWAVE,0.8739756
C:\Users\Landon\Documents\audioWAV2\CELLO.E3.1.mezzopiano.arcominortrill.wav,10,CELLO,3,BASS,0.7608502
C:\Users\Landon\Documents\audioWAV2\OBOE.E5.1.forte.normal.wav,21,OBOE,21,OBOE,0.99924016
C:\Users\Landon\Documents\audioWAV2\DOUBLEBASS.E2.025.mezzoforte.arconormal.wav,3,BASS,3,BASS,0.9709961
C:\Users\Landon\Documents\audioWAV2\FLUTE.E4.1.pianissimo.normal.wav,15,FLUTE,15,FLUTE,0.67986774
C:\Users\Landon\Documents\audioWAV2\DOUBLEBASS.B2.05.pianissimo.arconormal.wav,3,BASS,3,BASS,0.9699819
C:\Users\Landon\Documents\audioWAV2\OBOE.As3.025.mezzoforte.normal.wav,21,OBOE,23,SAXOPHONE,0.32455984
C:\Users\Landon\Documents\audioWAV2\MANDOLIN.F5.verylong.piano.normal.wav,19,MANDOLIN,19,MANDOLIN,0.9998424
C:\Users\Landon\Documents\audioWAV2\FLUTE.B6.1.mezzoforte.normal.wav,15,FLUTE,33,VIOLA,0.5929582
C:\Users\Landon\Documents\audioWAV2\CLARINET.F4.05.pianissimo.normal.wav,8,BBCLARINET,8,BBCLARINET,0.8012239
C:\Users\Landon\Documents\audioWAV2\TUBA.Ds2.long.forte.majortrill.wav,31,TUBA,31,TUBA,0.98758054
C:\Users\Landon\Documents\audioWAV2\CONTRABASSOON.E2.15.fortissimo.normal.wav,11,CONTRABASSOON,11,CONTRABASSOON,0.9607436
C:\Users\Landon\Documents\audioWAV2\DOUBLEBASS.C4.15.pianissimo.arconormal.wav,3,BASS,3,BASS,0.9874423
C:\Users\Landon\Documents\audioWAV1\Marimba.yarn.G2.L.wav,20,MARIMBA,20,MARIMBA,0.95453554
