,Filepath,Label,Prediction
0,C:\Users\Landon\Documents\audioWAV2\VIOLIN.As5.1.mezzoforte.artificialharmonic.wav,31,10
1,C:\Users\Landon\Documents\audioWAV2\TRUMPET.G5.15.forte.normal.wav,27,27
2,C:\Users\Landon\Documents\audioWAV2\VIOLIN.A6.025.pianissimo.arconormal.wav,31,31
3,C:\Users\Landon\Documents\audioWAV2\FRENCHHORN.D3.phrase.forte.legato.wav,19,19
4,C:\Users\Landon\Documents\audioWAV2\DOUBLEBASS.F3.1.moltopianissimo.arconormal.wav,3,3
5,C:\Users\Landon\Documents\audioWAV2\CONTRABASSOON.C2.phrase.mezzoforte.tenuto.wav,12,31
6,C:\Users\Landon\Documents\audioWAV2\VIOLA.A6.05.fortissimo.arconormal.wav,30,30
7,C:\Users\Landon\Documents\audioWAV2\TUBA.Ds4.long.forte.minortrill.wav,28,28
8,C:\Users\Landon\Documents\audioWAV2\VIOLA.As6.05.pianissimo.arconormal.wav,30,30
9,C:\Users\Landon\Documents\audioWAV2\FRENCHHORN.A3.1.fortissimo.normal.wav,19,19
10,C:\Users\Landon\Documents\audioWAV2\VIOLA.E5.05.pianissimo.arconormal.wav,30,30
11,C:\Users\Landon\Documents\audioWAV2\TUBA.D3.15.mezzoforte.normal.wav,28,28
12,C:\Users\Landon\Documents\audioWAV1\Trumpet.vib.B4.L.wav,27,27
13,C:\Users\Landon\Documents\audioWAV2\CELLO.G4.025.fortissimo.arconormal.wav,10,4
14,C:\Users\Landon\Documents\audioWAV2\CONTRABASSOON.G3.025.forte.normal.wav,12,28
15,C:\Users\Landon\Documents\audioWAV2\CLARINET.D4.1.pianissimo.normal.wav,11,15
16,C:\Users\Landon\Documents\audioWAV1\BassClarinet.D5.L.wav,4,4
17,C:\Users\Landon\Documents\audioWAV2\DOUBLEBASS.Gs2.1.fortissimo.arconormal.wav,3,3
18,C:\Users\Landon\Documents\audioWAV2\TROMBONE.E3.phrase.forte.glissando.wav,26,26
19,C:\Users\Landon\Documents\audioWAV2\OBOE.E4.1.forte.tremolo.wav,22,22
20,C:\Users\Landon\Documents\audioWAV1\BbClarinet.Eb3.R.wav,8,8
21,C:\Users\Landon\Documents\audioWAV2\VIOLA.Gs5.15.fortissimo.arconormal.wav,30,30
22,C:\Users\Landon\Documents\audioWAV2\CELLO.C4.1.forte.arconormal.wav,10,10
23,C:\Users\Landon\Documents\audioWAV2\OBOE.A4.15.piano.normal.wav,22,16
24,C:\Users\Landon\Documents\audioWAV2\FRENCHHORN.B1.15.piano.normal.wav,19,19
25,C:\Users\Landon\Documents\audioWAV2\TROMBONE.G4.15.mezzoforte.normal.wav,26,26
26,C:\Users\Landon\Documents\audioWAV2\DOUBLEBASS.Cs4.05.mezzoforte.arconormal.wav,3,3
27,C:\Users\Landon\Documents\audioWAV2\ENGLISHHORN.A3.05.mezzopiano.normal.wav,15,15
28,C:\Users\Landon\Documents\audioWAV1\Xylophone.rosewood.Db6.R.wav,32,32
29,C:\Users\Landon\Documents\audioWAV2\FRENCHHORN.Ds2.05.fortissimo.normal.wav,19,19
30,C:\Users\Landon\Documents\audioWAV2\SAXOPHONE.E4.025.piano.normal.wav,23,6
31,C:\Users\Landon\Documents\audioWAV2\FLUTE.Cs6.05.mezzopiano.normal.wav,16,16
32,C:\Users\Landon\Documents\audioWAV2\FLUTE.Gs6.05.forte.normal.wav,16,16
33,C:\Users\Landon\Documents\audioWAV2\FLUTE.B6.15.mezzoforte.normal.wav,16,16
34,C:\Users\Landon\Documents\audioWAV2\BASSCLARINET.E3.15.piano.normal.wav,4,4
35,C:\Users\Landon\Documents\audioWAV2\DOUBLEBASS.D2.1.fortissimo.arconormal.wav,3,3
36,C:\Users\Landon\Documents\audioWAV2\CELLO.E2.15.pianissimo.arconormal.wav,10,10
37,C:\Users\Landon\Documents\audioWAV2\TUBA.Fs1.1.fortissimo.normal.wav,28,28
38,C:\Users\Landon\Documents\audioWAV2\CORANGLAIS.As4.05.fortissimo.normal.wav,15,15
39,C:\Users\Landon\Documents\audioWAV2\CORANGLAIS.Gs5.1.pianissimo.normal.wav,15,15
40,C:\Users\Landon\Documents\audioWAV2\OBOE.Ds6.025.fortissimo.normal.wav,22,22
41,C:\Users\Landon\Documents\audioWAV2\DOUBLEBASS.Cs4.15.forte.arconormal.wav,3,3
42,C:\Users\Landon\Documents\audioWAV2\SAXOPHONE.B3.long.forte.minortrill.wav,23,23
43,C:\Users\Landon\Documents\audioWAV2\OBOE.B5.15.fortissimo.normal.wav,22,22
44,C:\Users\Landon\Documents\audioWAV2\TUBA.Cs2.1.fortissimo.normal.wav,28,28
45,C:\Users\Landon\Documents\audioWAV2\CLARINET.C4.15.fortissimo.normal.wav,11,11
46,C:\Users\Landon\Documents\audioWAV2\SAXOPHONE.Fs4.15.pianissimo.normal.wav,23,23
47,C:\Users\Landon\Documents\audioWAV1\Trumpet.novib.Db5.L.wav,27,27
48,C:\Users\Landon\Documents\audioWAV2\FLUTE.G5.15.piano.normal.wav,16,16
49,C:\Users\Landon\Documents\audioWAV2\CLARINET.As6.05.pianissimo.normal.wav,11,11
50,C:\Users\Landon\Documents\audioWAV2\TUBA.Cs2.1.piano.normal.wav,28,28
51,C:\Users\Landon\Documents\audioWAV2\FRENCHHORN.D4.1.fortissimo.normal.wav,19,19
52,C:\Users\Landon\Documents\audioWAV2\TUBA.Gs1.025.piano.normal.wav,28,28
53,C:\Users\Landon\Documents\audioWAV2\FLUTE.B4.025.pianissimo.normal.wav,16,16
54,C:\Users\Landon\Documents\audioWAV2\SAXOPHONE.D5.1.forte.normal.wav,23,23
55,C:\Users\Landon\Documents\audioWAV1\Flute.vib.D4.L.wav,16,16
56,C:\Users\Landon\Documents\audioWAV2\DOUBLEBASS.Cs4.1.pianissimo.arconormal.wav,3,16
57,C:\Users\Landon\Documents\audioWAV2\ENGLISHHORN.A3.05.forte.normal.wav,15,15
58,C:\Users\Landon\Documents\audioWAV2\FRENCHHORN.D2.025.fortissimo.normal.wav,19,19
59,C:\Users\Landon\Documents\audioWAV1\Vibraphone.sustain.Gb5.L.wav,29,29
60,C:\Users\Landon\Documents\audioWAV2\ENGLISHHORN.F5.025.mezzoforte.normal.wav,15,15
61,C:\Users\Landon\Documents\audioWAV2\OBOE.E6.025.mezzoforte.normal.wav,22,22
62,C:\Users\Landon\Documents\audioWAV2\TUBA.E4.1.mezzoforte.normal.wav,28,28
63,C:\Users\Landon\Documents\audioWAV2\TROMBONE.A3.05.piano.normal.wav,26,26
64,C:\Users\Landon\Documents\audioWAV1\Trumpet.vib.B3.R.wav,27,27
65,C:\Users\Landon\Documents\audioWAV2\CORANGLAIS.Gs3.025.pianissimo.normal.wav,15,15
66,C:\Users\Landon\Documents\audioWAV1\Tuba.C1.R.wav,28,28
67,C:\Users\Landon\Documents\audioWAV2\CELLO.A5.05.pianissimo.arconormal.wav,10,10
68,C:\Users\Landon\Documents\audioWAV2\TUBA.B0.long.mezzoforte.normal.wav,28,28
69,C:\Users\Landon\Documents\audioWAV1\Cello.arco.sulD.A3.L.wav,10,10
70,C:\Users\Landon\Documents\audioWAV2\TROMBONE.E4.1.piano.normal.wav,26,26
71,C:\Users\Landon\Documents\audioWAV2\VIOLIN.Cs5.025.fortissimo.arconormal.wav,31,31
