,Filepath,Label,Prediction
0,C:\Users\Landon\Documents\audioWAV1\Marimba.yarn.B4.R.wav,21,21
1,C:\Users\Landon\Documents\audioWAV2\TROMBONE.F6.long.forte.tremolo.wav,26,16
2,C:\Users\Landon\Documents\audioWAV2\GUITAR.Ds4.verylong.forte.normal.wav,17,17
3,C:\Users\Landon\Documents\audioWAV1\Bass.arco.sulE.Gb1.R.wav,3,3
4,C:\Users\Landon\Documents\audioWAV2\OBOE.As3.15.mezzoforte.normal.wav,22,28
5,C:\Users\Landon\Documents\audioWAV2\FLUTE.As4.15.mezzoforte.tremolo.wav,16,16
6,C:\Users\Landon\Documents\audioWAV2\BASSOON.Ds4.05.mezzoforte.normal.wav,6,6
7,C:\Users\Landon\Documents\audioWAV2\TRUMPET.As3.phrase.mezzoforte.tripletonguing.wav,27,27
8,C:\Users\Landon\Documents\audioWAV2\CONTRABASSOON.Ds2.05.forte.normal.wav,12,28
9,C:\Users\Landon\Documents\audioWAV2\VIOLIN.C6.1.mezzoforte.arconormal.wav,31,31
10,C:\Users\Landon\Documents\audioWAV2\OBOE.Ds5.1.mezzoforte.normal.wav,22,22
11,C:\Users\Landon\Documents\audioWAV2\VIOLA.G4.1.piano.arcoglissando.wav,30,30
12,C:\Users\Landon\Documents\audioWAV1\Bassoon.C2.L.wav,6,6
13,C:\Users\Landon\Documents\audioWAV1\Vibraphone.sustain.Eb5.L.wav,29,29
14,C:\Users\Landon\Documents\audioWAV2\FLUTE.C7.025.pianissimo.normal.wav,16,16
15,C:\Users\Landon\Documents\audioWAV2\TROMBONE.Cs5.15.mezzoforte.normal.wav,26,26
16,C:\Users\Landon\Documents\audioWAV2\ENGLISHHORN.Fs3.1.mezzoforte.normal.wav,15,15
17,C:\Users\Landon\Documents\audioWAV2\VIOLA.D3.025.forte.arconormal.wav,30,30
18,C:\Users\Landon\Documents\audioWAV2\FLUTE.A6.025.forte.normal.wav,16,16
19,C:\Users\Landon\Documents\audioWAV2\BANJO.F5.verylong.piano.normal.wav,2,2
20,C:\Users\Landon\Documents\audioWAV2\DOUBLEBASS.Gs3.1.fortissimo.arconormal.wav,3,30
21,C:\Users\Landon\Documents\audioWAV1\Bassoon.Eb2.L.wav,6,6
22,C:\Users\Landon\Documents\audioWAV1\Cello.arco.sulC.G2.L.wav,10,10
