Filepath,Int Label,Str Label,Int Prediction,Str Prediction,Confidence
C:\Users\Landon\Documents\audioWAV1\Bassoon.B2.R.wav,6,BASSOON,6,BASSOON,0.7295344
C:\Users\Landon\Documents\audioWAV1\hihat.bell.L.wav,18,HIHAT,32,XYLOPHONE,0.46606636
C:\Users\Landon\Documents\audioWAV1\Flute.vib.Ab4.L.wav,16,FLUTE,16,FLUTE,0.888905
C:\Users\Landon\Documents\audioWAV1\BassFlute.F4.L.wav,5,BASSFLUTE,4,BASSCLARINET,0.86735123
C:\Users\Landon\Documents\audioWAV1\Marimba.rubber.G4.R.wav,21,MARIMBA,21,MARIMBA,0.9981364
C:\Users\Landon\Documents\audioWAV1\BassClarinet.Ab2.L.wav,4,BASSCLARINET,4,BASSCLARINET,0.9855123
C:\Users\Landon\Documents\audioWAV1\Cello.arco.sulC.C4.R.wav,10,CELLO,29,VIBRAPHONE,0.8388122
C:\Users\Landon\Documents\audioWAV1\Vibraphone.dampen.E5.L.wav,29,VIBRAPHONE,21,MARIMBA,0.84373456
C:\Users\Landon\Documents\audioWAV1\BbClarinet.Bb4.R.wav,8,BBCLARINET,8,BBCLARINET,0.49294043
C:\Users\Landon\Documents\audioWAV1\Viola.arco.sulC.Bb4.R.wav,30,VIOLA,30,VIOLA,0.84782356
C:\Users\Landon\Documents\audioWAV1\Tuba.G2.R.wav,28,TUBA,28,TUBA,0.97611964
C:\Users\Landon\Documents\audioWAV1\Crotale.Ab7.R.wav,13,CROTALE,9,BELLS,0.6808865
C:\Users\Landon\Documents\audioWAV1\Xylophone.rosewood.Eb7.R.wav,32,XYLOPHONE,32,XYLOPHONE,0.6319352
C:\Users\Landon\Documents\audioWAV1\AltoFlute.vib.Gb4.R.wav,0,ALTOFLUTE,0,ALTOFLUTE,0.7364014
C:\Users\Landon\Documents\audioWAV1\SopSax.nonvib.Ab5.L.wav,24,SOPSAX,24,SOPSAX,0.98169506
C:\Users\Landon\Documents\audioWAV1\Bass.arco.sulD.B2.R.wav,3,BASS,3,BASS,1.0
C:\Users\Landon\Documents\audioWAV1\Marimba.cord.D6.R.wav,21,MARIMBA,21,MARIMBA,0.9929381
C:\Users\Landon\Documents\audioWAV1\EbClarinet.Ab4.L.wav,14,EBCLARINET,14,EBCLARINET,0.8129947
C:\Users\Landon\Documents\audioWAV1\Marimba.cord.Eb4.R.wav,21,MARIMBA,21,MARIMBA,0.9967199
C:\Users\Landon\Documents\audioWAV1\AltoFlute.vib.F5.L.wav,0,ALTOFLUTE,0,ALTOFLUTE,0.8458637
C:\Users\Landon\Documents\audioWAV1\Marimba.rubber.E5.L.wav,21,MARIMBA,32,XYLOPHONE,0.4590687
C:\Users\Landon\Documents\audioWAV1\Bass.arco.sulG.B3.R.wav,3,BASS,3,BASS,0.99863714
C:\Users\Landon\Documents\audioWAV1\Violin.arco.sulE.Gb5.L.wav,31,VIOLIN,31,VIOLIN,0.99999964
C:\Users\Landon\Documents\audioWAV1\bells.brass.B6.L.wav,9,BELLS,9,BELLS,0.8585758
C:\Users\Landon\Documents\audioWAV1\Oboe.C6.R.wav,22,OBOE,22,OBOE,0.99994516
C:\Users\Landon\Documents\audioWAV1\Viola.arco.sulA.E5.L.wav,30,VIOLA,5,BASSFLUTE,0.6760485
C:\Users\Landon\Documents\audioWAV1\Marimba.rubber.E6.R.wav,21,MARIMBA,21,MARIMBA,0.747954
C:\Users\Landon\Documents\audioWAV1\bells.plastic.Gb7.R.wav,9,BELLS,9,BELLS,0.99046004
C:\Users\Landon\Documents\audioWAV1\Horn.B4.L.wav,19,HORN,19,HORN,0.26472545
C:\Users\Landon\Documents\audioWAV1\Horn.B1.R.wav,19,HORN,19,HORN,0.728568
C:\Users\Landon\Documents\audioWAV1\BbClarinet.Ab4.L.wav,8,BBCLARINET,8,BBCLARINET,0.9929011
C:\Users\Landon\Documents\audioWAV1\BbClarinet.Bb3.R.wav,8,BBCLARINET,8,BBCLARINET,0.9923449
C:\Users\Landon\Documents\audioWAV1\bells.brass.D6.R.wav,9,BELLS,9,BELLS,0.76557314
C:\Users\Landon\Documents\audioWAV1\Bassoon.D5.R.wav,6,BASSOON,5,BASSFLUTE,0.55502445
C:\Users\Landon\Documents\audioWAV1\SopSax.vib.C4.R.wav,24,SOPSAX,1,ALTOSAX,0.5600157
C:\Users\Landon\Documents\audioWAV1\Marimba.cord.C7.R.wav,21,MARIMBA,21,MARIMBA,0.9548094
C:\Users\Landon\Documents\audioWAV1\Cello.arco.sulC.Gb3.R.wav,10,CELLO,10,CELLO,0.9985788
C:\Users\Landon\Documents\audioWAV1\BbClarinet.E3.L.wav,8,BBCLARINET,8,BBCLARINET,0.5760914
C:\Users\Landon\Documents\audioWAV1\BassClarinet.Bb2.L.wav,4,BASSCLARINET,4,BASSCLARINET,0.9965855
C:\Users\Landon\Documents\audioWAV1\EbClarinet.A3.L.wav,14,EBCLARINET,14,EBCLARINET,0.2702044
C:\Users\Landon\Documents\audioWAV1\bells.plastic.Db5.R.wav,9,BELLS,9,BELLS,0.50493085
C:\Users\Landon\Documents\audioWAV1\Flute.vib.Bb4.L.wav,16,FLUTE,16,FLUTE,0.74996346
C:\Users\Landon\Documents\audioWAV1\Marimba.yarn.A3.R.wav,21,MARIMBA,21,MARIMBA,0.9999981
C:\Users\Landon\Documents\audioWAV1\Bass.arco.sulC.C1.R.wav,3,BASS,3,BASS,0.9998648
C:\Users\Landon\Documents\audioWAV1\BbClarinet.Bb4.L.wav,8,BBCLARINET,8,BBCLARINET,0.49294043
C:\Users\Landon\Documents\audioWAV1\Vibraphone.shortsustain.Ab4.L.wav,29,VIBRAPHONE,29,VIBRAPHONE,0.9925932
C:\Users\Landon\Documents\audioWAV1\Trumpet.novib.C5.R.wav,27,TRUMPET,27,TRUMPET,1.0
C:\Users\Landon\Documents\audioWAV1\Vibraphone.bow.Gb3.R.wav,29,VIBRAPHONE,29,VIBRAPHONE,1.0
C:\Users\Landon\Documents\audioWAV1\Viola.arco.sulC.D3.R.wav,30,VIOLA,30,VIOLA,0.41693977
C:\Users\Landon\Documents\audioWAV1\Trumpet.novib.F4.R.wav,27,TRUMPET,27,TRUMPET,1.0
C:\Users\Landon\Documents\audioWAV1\SopSax.vib.Bb5.R.wav,24,SOPSAX,24,SOPSAX,0.92989117
C:\Users\Landon\Documents\audioWAV1\Oboe.Db4.L.wav,22,OBOE,22,OBOE,0.8726924
C:\Users\Landon\Documents\audioWAV1\Vibraphone.shortsustain.C4.L.wav,29,VIBRAPHONE,29,VIBRAPHONE,0.98595965
