,Epoch Num,Loss Score,Precision,Recall
0,0,3.058162689,0.400000006,0.0078125
1,1,2.379240751,0.714285731,0.15625
0,0,2.572485924,0.625,0.09765625
1,1,2.090731621,0.840909064,0.14453125
0,0,2.259342194,0.689189196,0.19921875
1,1,1.721722722,0.810126603,0.25
0,0,1.992058635,0.752293587,0.3203125
1,1,1.495499134,0.935064912,0.28125
0,0,1.689558387,0.713286698,0.3984375
1,1,1.217260718,0.830645144,0.40234375
0,0,1.257200122,0.820143878,0.4453125
1,1,0.812479794,0.902173936,0.6484375
0,0,1.374767303,0.763819098,0.59375
1,1,0.97366941,0.89403975,0.52734375
0,0,1.059993982,0.815028906,0.55078125
1,1,0.752689838,0.887700558,0.6484375
0,0,1.086368203,0.856321812,0.58203125
1,1,0.61034745,0.931216955,0.6875
0,0,0.798901379,0.856481493,0.72265625
1,1,0.619280219,0.906103313,0.75390625
0,0,0.854928136,0.857142866,0.6328125
1,1,0.542240858,0.919597983,0.71484375
0,0,0.840435982,0.836538434,0.685039341
1,1,0.466092646,0.930000007,0.732283473
0,0,0.6389305,0.856502235,0.74609375
1,1,0.409697235,0.927601814,0.80078125
0,0,0.536492586,0.872807026,0.77734375
1,1,0.48582086,0.913043499,0.8203125
0,0,0.545995653,0.895454526,0.76953125
1,1,0.379900634,0.929515421,0.82421875
0,0,0.472523421,0.855203629,0.73828125
1,1,0.323856086,0.930735946,0.83984375
0,0,0.473080158,0.864978909,0.80078125
1,1,0.24406223,0.950207472,0.89453125
0,0,0.439010143,0.904166639,0.84765625
1,1,0.246080026,0.954545438,0.90234375
0,0,0.405710548,0.903765678,0.84375
1,1,0.212641418,0.970588207,0.90234375
0,0,0.556959331,0.859504104,0.8125
1,1,0.374787897,0.930735946,0.83984375
0,0,0.592505753,0.867841423,0.76953125
1,1,0.429094613,0.925110161,0.8203125
0,0,0.453301758,0.867768586,0.8203125
1,1,0.269237578,0.949579835,0.8828125
0,0,0.435150623,0.89495796,0.83203125
1,1,0.25980711,0.957081556,0.87109375
0,0,0.266179472,0.927419364,0.905511796
1,1,0.200478867,0.937007844,0.937007844
