Filepath,Int Label,Str Label,Int Prediction,Str Prediction,Confidence
C:\Users\Landon\Documents\audioChaoticSynthesizerWAV\PER2TO10\C0000000101Y.wav,,,28,TRIANGLEWAVE,0.45281714
C:\Users\Landon\Documents\audioChaoticSynthesizerWAV\PER2TO10\C000110101X.wav,,,14,ENGLISHHORN,0.6682619
C:\Users\Landon\Documents\audioChaoticSynthesizerWAV\PER2TO10\C011111X.wav,,,18,HORN,0.9662361
C:\Users\Landon\Documents\audioChaoticSynthesizerWAV\PER2TO10\C0010011Y.wav,,,28,TRIANGLEWAVE,0.59785765
C:\Users\Landon\Documents\audioChaoticSynthesizerWAV\PER2TO10\C000101111Y.wav,,,8,BBCLARINET,0.5108611
C:\Users\Landon\Documents\audioChaoticSynthesizerWAV\PER2TO10\C0001011111X.wav,,,14,ENGLISHHORN,0.9995073
C:\Users\Landon\Documents\audioChaoticSynthesizerWAV\PER2TO10\C00011011Y.wav,,,4,BASSCLARINET,0.5169164
C:\Users\Landon\Documents\audioChaoticSynthesizerWAV\PER2TO10\C0010111101Z.wav,,,18,HORN,0.8543425
C:\Users\Landon\Documents\audioChaoticSynthesizerWAV\PER2TO10\C0000101X.wav,,,18,HORN,0.632448
C:\Users\Landon\Documents\audioChaoticSynthesizerWAV\PER2TO10\C00110101Z.wav,,,30,TRUMPET,0.8672394
C:\Users\Landon\Documents\audioChaoticSynthesizerWAV\PER2TO10\C0010100111X.wav,,,4,BASSCLARINET,0.96388817
C:\Users\Landon\Documents\audioChaoticSynthesizerWAV\PER2TO10\C01011011Y.wav,,,8,BBCLARINET,0.46521696
C:\Users\Landon\Documents\audioChaoticSynthesizerWAV\PER2TO10\C0011101111Y.wav,,,8,BBCLARINET,0.39021406
C:\Users\Landon\Documents\audioChaoticSynthesizerWAV\PER2TO10\C001011011Z.wav,,,6,BASSOON,0.9153871
C:\Users\Landon\Documents\audioChaoticSynthesizerWAV\PER2TO10\C0101011011Y.wav,,,32,VIBRAPHONE,0.56597334
C:\Users\Landon\Documents\audioChaoticSynthesizerWAV\PER2TO10\C0011101111X.wav,,,14,ENGLISHHORN,0.9990256
C:\Users\Landon\Documents\audioChaoticSynthesizerWAV\PER2TO10\C000001011Z.wav,,,18,HORN,0.5601551
C:\Users\Landon\Documents\audioChaoticSynthesizerWAV\PER2TO10\C001001011Z.wav,,,14,ENGLISHHORN,0.9897628
C:\Users\Landon\Documents\audioChaoticSynthesizerWAV\PER2TO10\C0011011111X.wav,,,18,HORN,0.92146266
C:\Users\Landon\Documents\audioChaoticSynthesizerWAV\PER2TO10\C0010111101X.wav,,,18,HORN,0.9907877
C:\Users\Landon\Documents\audioChaoticSynthesizerWAV\PER2TO10\C0010100101Y.wav,,,8,BBCLARINET,0.92008364
C:\Users\Landon\Documents\audioChaoticSynthesizerWAV\PER2TO10\C0010111101Y.wav,,,28,TRIANGLEWAVE,0.48487908
C:\Users\Landon\Documents\audioChaoticSynthesizerWAV\PER2TO10\C0010010101Z.wav,,,18,HORN,0.9161758
C:\Users\Landon\Documents\audioChaoticSynthesizerWAV\PER2TO10\C0000000001X.wav,,,18,HORN,0.9645831
C:\Users\Landon\Documents\audioChaoticSynthesizerWAV\PER2TO10\C0011010101X.wav,,,14,ENGLISHHORN,0.92497474
C:\Users\Landon\Documents\audioChaoticSynthesizerWAV\PER2TO10\C000111011Z.wav,,,6,BASSOON,0.6339405
C:\Users\Landon\Documents\audioChaoticSynthesizerWAV\PER2TO10\C0001011101X.wav,,,14,ENGLISHHORN,0.9828782
C:\Users\Landon\Documents\audioChaoticSynthesizerWAV\PER2TO10\C00001011Z.wav,,,14,ENGLISHHORN,0.9647017
C:\Users\Landon\Documents\audioChaoticSynthesizerWAV\PER2TO10\C0010101101Z.wav,,,18,HORN,0.8212311
C:\Users\Landon\Documents\audioChaoticSynthesizerWAV\PER2TO10\C0001111X.wav,,,18,HORN,0.5734586
C:\Users\Landon\Documents\audioChaoticSynthesizerWAV\PER2TO10\C0010101011Y.wav,,,23,SAXOPHONE,0.32229024
C:\Users\Landon\Documents\audioChaoticSynthesizerWAV\PER2TO10\C0001011Y.wav,,,3,BASS,0.9113861
C:\Users\Landon\Documents\audioChaoticSynthesizerWAV\PER2TO10\C0000011Z.wav,,,18,HORN,0.50936383
C:\Users\Landon\Documents\audioChaoticSynthesizerWAV\PER2TO10\C0000001111X.wav,,,14,ENGLISHHORN,0.9627912
C:\Users\Landon\Documents\audioChaoticSynthesizerWAV\PER2TO10\C001011011X.wav,,,18,HORN,0.9695249
C:\Users\Landon\Documents\audioChaoticSynthesizerWAV\PER2TO10\C001011111X.wav,,,14,ENGLISHHORN,0.80297863
C:\Users\Landon\Documents\audioChaoticSynthesizerWAV\PER2TO10\C0000100011Z.wav,,,14,ENGLISHHORN,0.99990284
C:\Users\Landon\Documents\audioChaoticSynthesizerWAV\PER2TO10\C0010011011Y.wav,,,4,BASSCLARINET,0.9728326
C:\Users\Landon\Documents\audioChaoticSynthesizerWAV\PER2TO10\C00110111X.wav,,,18,HORN,0.9926065
C:\Users\Landon\Documents\audioChaoticSynthesizerWAV\PER2TO10\C00000111Z.wav,,,30,TRUMPET,0.66678554
C:\Users\Landon\Documents\audioChaoticSynthesizerWAV\PER2TO10\C000100101X.wav,,,18,HORN,0.9512846
