Filepath,Int Label,Str Label,Int Prediction,Str Prediction,Confidence
C:\Users\Landon\Documents\audioWAV2\VIOLIN.C5.025.forte.arconormal.wav,31,VIOLIN,31,VIOLIN,0.98932135
C:\Users\Landon\Documents\audioWAV1\Bass.arco.sulD.D2.L.wav,3,BASS,3,BASS,0.74550647
C:\Users\Landon\Documents\audioWAV2\CORANGLAIS.F5.1.pianissimo.normal.wav,15,ENGLISHHORN,15,ENGLISHHORN,0.7905822
C:\Users\Landon\Documents\audioWAV2\OBOE.Fs5.phrase.mezzoforte.tonguedslur.wav,22,OBOE,22,OBOE,0.78464216
C:\Users\Landon\Documents\audioWAV2\FLUTE.D6.1.pianissimo.normal.wav,16,FLUTE,16,FLUTE,0.99988794
C:\Users\Landon\Documents\audioWAV2\CLARINET.Ds5.1.pianissimo.normal.wav,11,CLARINET,19,HORN,0.51649785
C:\Users\Landon\Documents\audioWAV2\ENGLISHHORN.E4.phrase.mezzoforte.fluttertonguing.wav,15,ENGLISHHORN,15,ENGLISHHORN,0.9682008
C:\Users\Landon\Documents\audioWAV1\Xylophone.rosewood.Gb7.L.wav,32,XYLOPHONE,32,XYLOPHONE,0.9996953
C:\Users\Landon\Documents\audioWAV2\CELLO.E4.1.mezzopiano.moltovibrato.wav,10,CELLO,10,CELLO,0.77180344
C:\Users\Landon\Documents\audioWAV2\FLUTE.A6.025.pianissimo.normal.wav,16,FLUTE,16,FLUTE,0.9947931
C:\Users\Landon\Documents\audioWAV2\TROMBONE.D3.15.mezzoforte.normal.wav,26,TROMBONE,26,TROMBONE,0.7346448
C:\Users\Landon\Documents\audioWAV2\CORANGLAIS.As5.05.fortissimo.normal.wav,15,ENGLISHHORN,15,ENGLISHHORN,0.9965321
C:\Users\Landon\Documents\audioWAV2\BASSCLARINET.As5.025.mezzoforte.normal.wav,4,BASSCLARINET,11,CLARINET,0.48282892
C:\Users\Landon\Documents\audioWAV2\SAXOPHONE.B3.long.forte.minortrill.wav,23,SAXOPHONE,10,CELLO,0.532946
C:\Users\Landon\Documents\audioWAV2\BASSCLARINET.C5.05.pianissimo.normal.wav,4,BASSCLARINET,4,BASSCLARINET,0.98650175
C:\Users\Landon\Documents\audioWAV2\TUBA.F3.15.fortissimo.normal.wav,28,TUBA,28,TUBA,0.9073674
C:\Users\Landon\Documents\audioWAV1\Bassoon.D3.L.wav,6,BASSOON,6,BASSOON,0.9786879
C:\Users\Landon\Documents\audioWAV2\VIOLIN.B5.15.forte.arconormal.wav,31,VIOLIN,31,VIOLIN,0.999345
C:\Users\Landon\Documents\audioWAV1\Xylophone.hardrubber.Eb6.L.wav,32,XYLOPHONE,32,XYLOPHONE,0.7413526
C:\Users\Landon\Documents\audioWAV1\Crotale.Bb6.L.wav,13,CROTALE,13,CROTALE,0.9419082
C:\Users\Landon\Documents\audioWAV2\VIOLIN.As7.1.mezzoforte.artificialharmonic.wav,31,VIOLIN,31,VIOLIN,1.0
C:\Users\Landon\Documents\audioWAV2\DOUBLEBASS.As2.05.fortissimo.arconormal.wav,3,BASS,3,BASS,0.9775264
C:\Users\Landon\Documents\audioWAV2\DOUBLEBASS.E1.05.piano.arconormal.wav,3,BASS,3,BASS,0.96164423
C:\Users\Landon\Documents\audioWAV2\BASSOON.D2.05.fortissimo.normal.wav,6,BASSOON,12,CONTRABASSOON,0.58581626
C:\Users\Landon\Documents\audioWAV2\TUBA.Ds3.1.piano.normal.wav,28,TUBA,28,TUBA,0.98954445
C:\Users\Landon\Documents\audioWAV2\GUITAR.E6.verylong.piano.harmonics.wav,17,GUITAR,17,GUITAR,0.983054
C:\Users\Landon\Documents\audioWAV1\Cello.arco.sulC.G3.R.wav,10,CELLO,10,CELLO,0.80199534
C:\Users\Landon\Documents\audioWAV2\CONTRABASSOON.D1.1.piano.normal.wav,12,CONTRABASSOON,12,CONTRABASSOON,0.758553
C:\Users\Landon\Documents\audioWAV2\FRENCHHORN.B3.1.piano.normal.wav,19,HORN,19,HORN,0.9569874
C:\Users\Landon\Documents\audioWAV2\ENGLISHHORN.Fs3.1.piano.normal.wav,15,ENGLISHHORN,15,ENGLISHHORN,0.9963779
C:\Users\Landon\Documents\audioWAV2\CONTRABASSOON.Gs2.025.mezzoforte.normal.wav,12,CONTRABASSOON,12,CONTRABASSOON,0.7618928
