Filepath,Int Label,Str Label,Int Prediction,Str Prediction,Confidence
C:\Users\Landon\Documents\audioNoiseWAV\WhiteNoise.59.wav,35,WHITENOISE,35,WHITENOISE,1.0
C:\Users\Landon\Documents\audioWAV1\Xylophone.rosewood.E5.L.wav,36,XYLOPHONE,36,XYLOPHONE,0.9211497
C:\Users\Landon\Documents\audioWAV2\CONTRABASSOON.F2.1.fortissimo.normal.wav,11,CONTRABASSOON,11,CONTRABASSOON,0.97211874
C:\Users\Landon\Documents\audioWAV1\BassClarinet.F4.L.wav,4,BASSCLARINET,4,BASSCLARINET,0.8846572
C:\Users\Landon\Documents\audioWAV2\FRENCHHORN.D4.025.fortissimo.normal.wav,18,HORN,18,HORN,0.4465688
C:\Users\Landon\Documents\audioWAV2\DOUBLEBASS.C3.15.piano.arconormal.wav,3,BASS,3,BASS,0.7919317
C:\Users\Landon\Documents\audioWAV2\BASSCLARINET.A4.1.fortissimo.normal.wav,4,BASSCLARINET,4,BASSCLARINET,0.9965153
C:\Users\Landon\Documents\audioWAV2\OBOE.G5.15.mezzoforte.normal.wav,21,OBOE,21,OBOE,0.9995408
C:\Users\Landon\Documents\audioWAV2\TRUMPET.E4.phrase.mezzoforte.staccatissimo.wav,30,TRUMPET,29,TROMBONE,0.75139946
C:\Users\Landon\Documents\audioWAV2\TUBA.Cs3.025.fortissimo.normal.wav,31,TUBA,31,TUBA,0.9652601
C:\Users\Landon\Documents\audioWAV2\FRENCHHORN.G2.1.mezzoforte.normal.wav,18,HORN,18,HORN,0.9858575
C:\Users\Landon\Documents\audioWAV1\Violin.arco.sulA.B4.R.wav,34,VIOLIN,1,ALTOSAX,0.84103435
C:\Users\Landon\Documents\audioWAV2\CORANGLAIS.B4.phrase.mezzoforte.staccato.wav,14,ENGLISHHORN,14,ENGLISHHORN,0.9999999
C:\Users\Landon\Documents\audioSyntheticWav\SawtoothWave.pure.151.1201Hz.wav,22,SAWTOOTHWAVE,22,SAWTOOTHWAVE,0.9971048
C:\Users\Landon\Documents\audioWAV2\TROMBONE.C4.15.mezzoforte.normal.wav,29,TROMBONE,29,TROMBONE,0.99978906
C:\Users\Landon\Documents\audioWAV2\VIOLA.Ds6.025.pianissimo.arconormal.wav,33,VIOLA,33,VIOLA,0.94708145
C:\Users\Landon\Documents\audioSyntheticWav\SawtoothWave.pure.69.2889Hz.wav,22,SAWTOOTHWAVE,22,SAWTOOTHWAVE,0.99997497
C:\Users\Landon\Documents\audioWAV2\TROMBONE.B5.long.forte.vibrato.wav,29,TROMBONE,4,BASSCLARINET,0.70904064
C:\Users\Landon\Documents\audioWAV2\OBOE.Ds6.1.mezzoforte.normal.wav,21,OBOE,21,OBOE,0.96844316
C:\Users\Landon\Documents\audioWAV2\DOUBLEBASS.A2.025.fortissimo.arconormal.wav,3,BASS,3,BASS,0.9959265
C:\Users\Landon\Documents\audioWAV2\VIOLIN.As4.1.mezzopiano.nonvibrato.wav,34,VIOLIN,34,VIOLIN,0.9627463
C:\Users\Landon\Documents\audioWAV2\TRUMPET.F3.05.pianissimo.normal.wav,30,TRUMPET,30,TRUMPET,0.9999175
C:\Users\Landon\Documents\audioWAV2\FLUTE.As4.1.piano.normal.wav,15,FLUTE,15,FLUTE,0.7065688
C:\Users\Landon\Documents\audioWAV2\BASSOON.C4.025.mezzopiano.normal.wav,6,BASSOON,6,BASSOON,0.9843424
C:\Users\Landon\Documents\audioWAV1\Oboe.Eb6.L.wav,21,OBOE,21,OBOE,0.50850993
C:\Users\Landon\Documents\audioWAV1\Vibraphone.bow.Eb6.L.wav,32,VIBRAPHONE,32,VIBRAPHONE,0.6017221
C:\Users\Landon\Documents\audioWAV1\AltoFlute.vib.Bb4.R.wav,0,ALTOFLUTE,0,ALTOFLUTE,0.94108343
C:\Users\Landon\Documents\audioWAV2\CLARINET.F3.025.piano.normal.wav,8,BBCLARINET,8,BBCLARINET,0.9416255
C:\Users\Landon\Documents\audioWAV2\BASSOON.Gs2.1.piano.normal.wav,6,BASSOON,6,BASSOON,0.99958354
C:\Users\Landon\Documents\audioWAV2\TROMBONE.D3.025.piano.normal.wav,29,TROMBONE,29,TROMBONE,0.9451253
C:\Users\Landon\Documents\audioWAV2\CELLO.C2.phrase.mezzoforte.arcostaccato.wav,10,CELLO,10,CELLO,0.78440845
C:\Users\Landon\Documents\audioWAV2\OBOE.F4.1.forte.majortrill.wav,21,OBOE,21,OBOE,0.76513624
C:\Users\Landon\Documents\audioWAV2\CLARINET.D3.05.fortissimo.normal.wav,8,BBCLARINET,8,BBCLARINET,0.9096737
C:\Users\Landon\Documents\audioWAV2\DOUBLEBASS.As1.025.mezzoforte.arcocollegnobattuto.wav,3,BASS,3,BASS,0.9475434
C:\Users\Landon\Documents\audioWAV1\SopSax.nonvib.F4.R.wav,25,SOPSAX,25,SOPSAX,0.8914588
C:\Users\Landon\Documents\audioWAV2\DOUBLEBASS.E4.15.mezzopiano.arconormal.wav,3,BASS,3,BASS,0.8204097
C:\Users\Landon\Documents\audioWAV2\CELLO.Fs3.025.mezzoforte.arcocollegnobattuto.wav,10,CELLO,33,VIOLA,0.8810922
C:\Users\Landon\Documents\audioWAV1\bells.plastic.Eb5.R.wav,9,BELLS,9,BELLS,0.9956226
C:\Users\Landon\Documents\audioWAV2\CELLO.E5.15.forte.arconormal.wav,10,CELLO,10,CELLO,0.99973685
C:\Users\Landon\Documents\audioWAV2\TUBA.Ds3.025.mezzopiano.normal.wav,31,TUBA,31,TUBA,0.99547476
C:\Users\Landon\Documents\audioWAV2\DOUBLEBASS.G4.05.forte.arconormal.wav,3,BASS,3,BASS,0.9999988
C:\Users\Landon\Documents\audioWAV2\FLUTE.E5.05.mezzopiano.normal.wav,15,FLUTE,15,FLUTE,0.99858534
C:\Users\Landon\Documents\audioWAV2\BASSCLARINET.D3.15.pianissimo.normal.wav,4,BASSCLARINET,4,BASSCLARINET,0.9995925
C:\Users\Landon\Documents\audioWAV1\Vibraphone.bow.F6.R.wav,32,VIBRAPHONE,32,VIBRAPHONE,0.8137671
C:\Users\Landon\Documents\audioWAV2\SAXOPHONE.Ds5.025.piano.normal.wav,23,SAXOPHONE,23,SAXOPHONE,0.9976273
C:\Users\Landon\Documents\audioSyntheticWav\TriangleWave.pure.3322.1129Hz.wav,28,TRIANGLEWAVE,28,TRIANGLEWAVE,0.5807504
C:\Users\Landon\Documents\audioWAV2\BASSCLARINET.D3.15.forte.normal.wav,4,BASSCLARINET,4,BASSCLARINET,0.9999614
C:\Users\Landon\Documents\audioWAV2\BASSCLARINET.As3.1.forte.normal.wav,4,BASSCLARINET,4,BASSCLARINET,0.99818146
C:\Users\Landon\Documents\audioWAV2\BASSCLARINET.C5.05.mezzoforte.normal.wav,4,BASSCLARINET,4,BASSCLARINET,0.99989045
C:\Users\Landon\Documents\audioWAV2\ENGLISHHORN.A4.15.mezzopiano.normal.wav,14,ENGLISHHORN,14,ENGLISHHORN,0.5970431
C:\Users\Landon\Documents\audioWAV2\CLARINET.E5.1.fortissimo.normal.wav,8,BBCLARINET,8,BBCLARINET,0.9778685
C:\Users\Landon\Documents\audioWAV2\CONTRABASSOON.D3.15.piano.normal.wav,11,CONTRABASSOON,10,CELLO,0.45721665
C:\Users\Landon\Documents\audioWAV2\CELLO.B4.025.forte.arconormal.wav,10,CELLO,30,TRUMPET,0.70886695
C:\Users\Landon\Documents\audioWAV2\TUBA.F3.15.forte.normal.wav,31,TUBA,31,TUBA,0.9997534
C:\Users\Landon\Documents\audioWAV2\BASSOON.D4.1.mezzoforte.normal.wav,6,BASSOON,6,BASSOON,0.99884796
C:\Users\Landon\Documents\audioWAV1\Oboe.G4.R.wav,21,OBOE,30,TRUMPET,0.7724433
C:\Users\Landon\Documents\audioWAV1\Cello.arco.sulA.Eb4.L.wav,10,CELLO,10,CELLO,0.96799254
C:\Users\Landon\Documents\audioWAV2\CONTRABASSOON.F1.025.forte.normal.wav,11,CONTRABASSOON,11,CONTRABASSOON,0.99940693
C:\Users\Landon\Documents\audioWAV2\FLUTE.Gs6.1.pianissimo.normal.wav,15,FLUTE,15,FLUTE,0.9999174
C:\Users\Landon\Documents\audioWAV2\SAXOPHONE.Cs4.15.forte.normal.wav,23,SAXOPHONE,23,SAXOPHONE,0.99997234
