Filepath,Int Label,Str Label,Int Prediction,Str Prediction,Confidence
C:\Users\Landon\Documents\audioWAV2\CLARINET.B5.15.forte.normal.wav,11,CLARINET,11,CLARINET,0.9850639
C:\Users\Landon\Documents\audioWAV2\FLUTE.B4.025.mezzoforte.normal.wav,16,FLUTE,16,FLUTE,0.99814594
C:\Users\Landon\Documents\audioWAV2\BASSOON.G4.1.forte.normal.wav,6,BASSOON,24,SAXOPHONE,0.9433688
C:\Users\Landon\Documents\audioWAV2\CLARINET.Cs4.1.piano.normal.wav,11,CLARINET,11,CLARINET,0.99820733
C:\Users\Landon\Documents\audioWAV2\FRENCHHORN.D5.long.forte.normal.wav,19,HORN,19,HORN,0.67081505
C:\Users\Landon\Documents\audioWAV1\Bass.arco.sulE.Db2.L.wav,3,BASS,3,BASS,0.9998611
C:\Users\Landon\Documents\audioWAV1\Bass.arco.sulA.D3.L.wav,3,BASS,3,BASS,0.9994906
C:\Users\Landon\Documents\audioSyntheticWav\SawtoothWave.pure.1811.3949Hz.wav,23,SAWTOOTHWAVE,23,SAWTOOTHWAVE,0.9997671
C:\Users\Landon\Documents\audioWAV2\TRUMPET.E4.05.pianissimo.normal.wav,31,TRUMPET,31,TRUMPET,0.95905286
C:\Users\Landon\Documents\audioWAV1\Flute.vib.Bb6.L.wav,16,FLUTE,16,FLUTE,1.0
C:\Users\Landon\Documents\audioWAV2\OBOE.E5.05.piano.normal.wav,22,OBOE,22,OBOE,0.89952415
C:\Users\Landon\Documents\audioWAV2\BASSCLARINET.A2.1.forte.normal.wav,4,BASSCLARINET,4,BASSCLARINET,0.9741931
C:\Users\Landon\Documents\audioWAV2\ENGLISHHORN.F5.15.forte.normal.wav,15,ENGLISHHORN,15,ENGLISHHORN,0.99823296
C:\Users\Landon\Documents\audioWAV1\AltoSax.NoVib.E5.L.wav,1,ALTOSAX,1,ALTOSAX,0.9999422
C:\Users\Landon\Documents\audioWAV2\TUBA.D3.025.mezzopiano.normal.wav,32,TUBA,24,SAXOPHONE,0.5411549
C:\Users\Landon\Documents\audioNoiseWAV\WhiteNoise.175.wav,36,WHITENOISE,36,WHITENOISE,0.9931258
C:\Users\Landon\Documents\audioWAV2\CELLO.B3.05.pianissimo.arconormal.wav,10,CELLO,10,CELLO,0.99945444
C:\Users\Landon\Documents\audioWAV2\ENGLISHHORN.A5.025.fortissimo.normal.wav,15,ENGLISHHORN,15,ENGLISHHORN,0.9970907
C:\Users\Landon\Documents\audioWAV2\FLUTE.F6.05.forte.normal.wav,16,FLUTE,16,FLUTE,1.0
C:\Users\Landon\Documents\audioWAV2\OBOE.As4.05.piano.normal.wav,22,OBOE,22,OBOE,0.98643583
C:\Users\Landon\Documents\audioWAV2\FRENCHHORN.As3.05.piano.normal.wav,19,HORN,12,CONTRABASSOON,0.62637615
