Filepath,Int Label,Str Label,Int Prediction,Str Prediction,Confidence
C:\Users\Landon\Documents\audioWAV2\ENGLISHHORN.F4.1.mezzopiano.normal.wav,14,ENGLISHHORN,15,FLUTE,0.50354946
C:\Users\Landon\Documents\audioWAV2\DOUBLEBASS.A2.05.forte.arconormal.wav,3,BASS,3,BASS,0.9549285
C:\Users\Landon\Documents\audioWAV2\TROMBONE.F3.025.piano.normal.wav,29,TROMBONE,29,TROMBONE,0.38137636
C:\Users\Landon\Documents\audioWAV1\Bass.arco.sulD.Ab2.L.wav,3,BASS,3,BASS,0.92999387
C:\Users\Landon\Documents\audioWAV2\FLUTE.Cs4.1.mezzoforte.normal.wav,15,FLUTE,15,FLUTE,0.51963997
C:\Users\Landon\Documents\audioWAV2\TUBA.F1.05.forte.normal.wav,31,TUBA,31,TUBA,0.94823986
C:\Users\Landon\Documents\audioWAV2\CLARINET.Ds4.025.fortissimo.normal.wav,8,BBCLARINET,23,SAXOPHONE,0.33325064
C:\Users\Landon\Documents\audioWAV2\VIOLA.F4.1.fortissimo.arconormal.wav,33,VIOLA,33,VIOLA,0.77904713
C:\Users\Landon\Documents\audioWAV2\OBOE.Cs5.phrase.mezzoforte.nonlegato.wav,21,OBOE,21,OBOE,0.8682902
C:\Users\Landon\Documents\audioWAV2\VIOLA.A5.1.forte.arconormal.wav,33,VIOLA,33,VIOLA,0.7759966
C:\Users\Landon\Documents\audioWAV2\CELLO.G2.05.forte.arconormal.wav,10,CELLO,10,CELLO,0.685638
C:\Users\Landon\Documents\audioWAV2\GUITAR.Fs5.verylong.piano.harmonics.wav,16,GUITAR,16,GUITAR,0.9646802
C:\Users\Landon\Documents\audioWAV2\CLARINET.A5.1.forte.normal.wav,8,BBCLARINET,34,VIOLIN,0.5211568
C:\Users\Landon\Documents\audioWAV2\CORANGLAIS.E4.05.mezzopiano.normal.wav,14,ENGLISHHORN,14,ENGLISHHORN,0.59924555
C:\Users\Landon\Documents\audioWAV2\BASSCLARINET.As4.1.pianissimo.normal.wav,4,BASSCLARINET,29,TROMBONE,0.46581426
C:\Users\Landon\Documents\audioWAV2\CLARINET.Ds6.15.forte.normal.wav,8,BBCLARINET,8,BBCLARINET,0.85895133
C:\Users\Landon\Documents\audioWAV1\Horn.Bb2.L.wav,18,HORN,18,HORN,0.5917253
