,Filepath,Label,Prediction
0,C:\Users\Landon\Documents\audioWAV\TenorTrombone.G3.L.wav,18,18
1,C:\Users\Landon\Documents\audioWAV\Vibraphone.dampen.E5.R.wav,21,14
2,C:\Users\Landon\Documents\audioWAV\Xylophone.rosewood.D5.L.wav,24,24
3,C:\Users\Landon\Documents\audioWAV\Horn.B1.R.wav,13,13
4,C:\Users\Landon\Documents\audioWAV\Marimba.yarn.B5.L.wav,14,14
5,C:\Users\Landon\Documents\audioWAV\Horn.A3.L.wav,13,1
6,C:\Users\Landon\Documents\audioWAV\bells.brass.D6.R.wav,8,8
7,C:\Users\Landon\Documents\audioWAV\bells.brass.C8.R.wav,8,8
8,C:\Users\Landon\Documents\audioWAV\BbClarinet.Ab3.L.wav,7,7
9,C:\Users\Landon\Documents\audioWAV\Vibraphone.bow.Eb5.L.wav,21,21
10,C:\Users\Landon\Documents\audioWAV\Cello.arco.sulG.D4.L.wav,9,9
11,C:\Users\Landon\Documents\audioWAV\AltoSax.NoVib.Bb3.R.wav,1,1
12,C:\Users\Landon\Documents\audioWAV\SopSax.nonvib.B4.L.wav,17,17
13,C:\Users\Landon\Documents\audioWAV\Xylophone.hardrubber.Eb5.L.wav,24,24
14,C:\Users\Landon\Documents\audioWAV\EbClarinet.Bb3.L.wav,10,10
15,C:\Users\Landon\Documents\audioWAV\Vibraphone.shortsustain.E5.R.wav,21,21
16,C:\Users\Landon\Documents\audioWAV\Violin.arco.sulE.Db6.R.wav,23,23
17,C:\Users\Landon\Documents\audioWAV\Xylophone.rosewood.Gb4.L.wav,24,24
18,C:\Users\Landon\Documents\audioWAV\AltoSax.NoVib.E3.L.wav,1,1
19,C:\Users\Landon\Documents\audioWAV\Marimba.cord.G3.L.wav,14,14
20,C:\Users\Landon\Documents\audioWAV\bells.brass.B6.L.wav,8,8
21,C:\Users\Landon\Documents\audioWAV\EbClarinet.Bb3.R.wav,10,10
22,C:\Users\Landon\Documents\audioWAV\Trumpet.vib.Ab5.L.wav,19,19
23,C:\Users\Landon\Documents\audioWAV\Vibraphone.bow.A5.L.wav,21,21
24,C:\Users\Landon\Documents\audioWAV\Vibraphone.sustain.A3.L.wav,21,21
25,C:\Users\Landon\Documents\audioWAV\Vibraphone.sustain.Db3.L.wav,21,21
26,C:\Users\Landon\Documents\audioWAV\Cello.arco.sulG.D3.L.wav,9,9
27,C:\Users\Landon\Documents\audioWAV\Vibraphone.shortsustain.Ab5.R.wav,21,21
28,C:\Users\Landon\Documents\audioWAV\Marimba.yarn.Bb4.L.wav,14,14
29,C:\Users\Landon\Documents\audioWAV\Vibraphone.bow.G3.L.wav,21,21
30,C:\Users\Landon\Documents\audioWAV\Cello.arco.sulD.B3.L.wav,9,9
31,C:\Users\Landon\Documents\audioWAV\Horn.Eb5.L.wav,13,13
32,C:\Users\Landon\Documents\audioWAV\Viola.arco.sulC.Eb3.R.wav,22,22
33,C:\Users\Landon\Documents\audioWAV\BassClarinet.Db2.L.wav,3,3
34,C:\Users\Landon\Documents\audioWAV\Vibraphone.dampen.Bb4.R.wav,21,24
35,C:\Users\Landon\Documents\audioWAV\Horn.Db3.R.wav,13,13
36,C:\Users\Landon\Documents\audioWAV\BassFlute.A5.R.wav,4,7
37,C:\Users\Landon\Documents\audioWAV\BassTrombone.A2.R.wav,6,18
38,C:\Users\Landon\Documents\audioWAV\Vibraphone.bow.G4.R.wav,21,21
39,C:\Users\Landon\Documents\audioWAV\SopSax.nonvib.D6.R.wav,17,17
40,C:\Users\Landon\Documents\audioWAV\Marimba.cord.Ab4.L.wav,14,14
41,C:\Users\Landon\Documents\audioWAV\Violin.arco.sulG.A4.L.wav,23,23
42,C:\Users\Landon\Documents\audioWAV\Flute.nonvib.Gb6.R.wav,11,11
43,C:\Users\Landon\Documents\audioWAV\Bassoon.Db5.L.wav,5,5
44,C:\Users\Landon\Documents\audioWAV\SopSax.nonvib.Bb4.L.wav,17,17
45,C:\Users\Landon\Documents\audioWAV\Trumpet.novib.Bb3.L.wav,19,19
46,C:\Users\Landon\Documents\audioWAV\Trumpet.novib.Bb5.L.wav,19,19
47,C:\Users\Landon\Documents\audioWAV\Viola.arco.sulC.Gb3.L.wav,22,22
48,C:\Users\Landon\Documents\audioWAV\BassClarinet.Bb2.R.wav,3,3
49,C:\Users\Landon\Documents\audioWAV\Cello.arco.sulA.Ab4.L.wav,9,9
50,C:\Users\Landon\Documents\audioWAV\bells.plastic.G7.R.wav,8,8
51,C:\Users\Landon\Documents\audioWAV\bells.plastic.E5.L.wav,8,8
52,C:\Users\Landon\Documents\audioWAV\Bass.arco.sulD.D4.R.wav,2,2
53,C:\Users\Landon\Documents\audioWAV\Violin.arco.sulG.G4.R.wav,23,23
54,C:\Users\Landon\Documents\audioWAV\Xylophone.rosewood.B6.L.wav,24,24
55,C:\Users\Landon\Documents\audioWAV\BassFlute.D4.R.wav,4,4
56,C:\Users\Landon\Documents\audioWAV\hihat.normal.R.wav,12,12
57,C:\Users\Landon\Documents\audioWAV\Marimba.cord.Db6.R.wav,14,14
