,Epoch Num,Loss Score,Precision,Recall
0,0,3.225211859,0,0
1,1,2.676355839,0.428571433,0.03515625
2,2,2.119434834,0.819999993,0.16015625
3,3,1.72168982,0.805084765,0.37109375
0,0,2.227030516,0.707692325,0.1796875
1,1,1.694018364,0.84523809,0.27734375
2,2,1.221215606,0.838926196,0.48828125
3,3,0.903884113,0.912790716,0.61328125
0,0,1.595762968,0.737500012,0.4609375
1,1,1.081365705,0.868055582,0.48828125
2,2,0.734432101,0.853535354,0.66015625
3,3,0.561994553,0.861111104,0.7265625
0,0,1.495840073,0.77976191,0.51171875
1,1,1.003452778,0.92413795,0.5234375
2,2,0.718320191,0.897959173,0.6875
3,3,0.465621918,0.925581396,0.77734375
0,0,1.317526221,0.774509788,0.6171875
1,1,0.752227306,0.917159736,0.60546875
2,2,0.572431147,0.915492952,0.76171875
3,3,0.409536839,0.926724136,0.83984375
0,0,1.19577527,0.815533996,0.65625
1,1,0.777370572,0.881720424,0.640625
2,2,0.566566706,0.929292917,0.71875
3,3,0.38058126,0.932432413,0.80859375
0,0,0.947651803,0.80733943,0.6875
1,1,0.552010119,0.894230783,0.7265625
2,2,0.396150261,0.911111116,0.80078125
3,3,0.278767794,0.93775934,0.8828125
0,0,0.815270483,0.816513777,0.6953125
1,1,0.510866523,0.90322578,0.765625
2,2,0.362959445,0.938326001,0.83203125
3,3,0.248854011,0.9375,0.87890625
0,0,0.777690172,0.83116883,0.75
1,1,0.417267114,0.927272737,0.796875
2,2,0.296698868,0.935064912,0.84375
3,3,0.185286582,0.967213094,0.921875
0,0,0.792794764,0.80590719,0.74609375
1,1,0.421760827,0.909090936,0.78125
2,2,0.289609373,0.956521749,0.859375
3,3,0.173244387,0.963114738,0.91796875
0,0,0.532314479,0.863829792,0.79296875
1,1,0.314645529,0.936708868,0.8671875
2,2,0.227396607,0.950617313,0.90234375
3,3,0.176710427,0.971659899,0.9375
0,0,0.757241845,0.892561972,0.850393713
1,1,0.458572149,0.880341887,0.811023593
2,2,0.249358803,0.949579835,0.889763772
3,3,0.190568939,0.958677709,0.913385808
0,0,0.370568871,0.938271582,0.890625
1,1,0.220966905,0.95102042,0.91015625
2,2,0.158266082,0.963414609,0.92578125
3,3,0.099179246,0.98031497,0.97265625
0,0,0.613196969,0.825910926,0.796875
1,1,0.301886648,0.929752052,0.87890625
2,2,0.195920765,0.962962985,0.9140625
3,3,0.133290961,0.967871487,0.94140625
0,0,0.461305052,0.905737698,0.86328125
1,1,0.243503794,0.946938753,0.90625
2,2,0.186971426,0.968379438,0.95703125
3,3,0.140599892,0.968379438,0.95703125
0,0,0.341439098,0.927125514,0.89453125
1,1,0.174142033,0.97551018,0.93359375
2,2,0.111914806,0.972000003,0.94921875
3,3,0.0790639,0.984189749,0.97265625
0,0,0.430289716,0.888888896,0.875
1,1,0.184638262,0.955284536,0.91796875
2,2,0.11385195,0.964285731,0.94921875
3,3,0.103608683,0.980392158,0.9765625
0,0,0.410333723,0.880478084,0.86328125
1,1,0.239099905,0.958506227,0.90234375
2,2,0.141384363,0.972332001,0.9609375
3,3,0.088741906,0.976377964,0.96875
0,0,0.311187506,0.927419364,0.8984375
1,1,0.157826751,0.959839344,0.93359375
2,2,0.110262357,0.972332001,0.9609375
3,3,0.054524396,0.992156863,0.98828125
0,0,0.323450089,0.919678688,0.89453125
1,1,0.161466256,0.956349194,0.94140625
2,2,0.100262687,0.980237126,0.96875
3,3,0.066239104,0.988095224,0.97265625
0,0,0.35162124,0.932539701,0.91796875
1,1,0.166321456,0.95599997,0.93359375
2,2,0.116084218,0.955645144,0.92578125
3,3,0.085220538,0.972440958,0.96484375
0,0,0.286325932,0.92828685,0.91015625
1,1,0.138669133,0.984000027,0.9609375
2,2,0.094446629,0.972549021,0.96875
3,3,0.070391998,0.9765625,0.9765625
0,0,0.294209182,0.905138314,0.89453125
1,1,0.130783826,0.98775512,0.9453125
2,2,0.10121271,0.972440958,0.96484375
3,3,0.062771291,0.992125988,0.984375
0,0,0.158625573,0.95161289,0.929133832
1,1,0.10322924,0.960317433,0.952755928
2,2,0.052510433,1,0.976377964
3,3,0.033432897,0.992125988,0.992125988
