,Filepath,Label,Prediction
0,C:/Users/Landon/Documents/wav_audio/Marimba.cord.Eb3.L.wav,14,14
1,C:/Users/Landon/Documents/wav_audio/Cello.arco.sulA.G4.R.wav,9,9
2,C:/Users/Landon/Documents/wav_audio/Vibraphone.shortsustain.A3.R.wav,21,21
3,C:/Users/Landon/Documents/wav_audio/Cello.arco.sulA.D5.L.wav,9,9
4,C:/Users/Landon/Documents/wav_audio/Violin.arco.sulA.Db5.L.wav,23,23
5,C:/Users/Landon/Documents/wav_audio/BbClarinet.B4.R.wav,7,7
6,C:/Users/Landon/Documents/wav_audio/BassFlute.Eb3.L.wav,4,4
7,C:/Users/Landon/Documents/wav_audio/Vibraphone.dampen.Ab5.R.wav,21,14
8,C:/Users/Landon/Documents/wav_audio/Marimba.yarn.D4.L.wav,14,14
9,C:/Users/Landon/Documents/wav_audio/SopSax.nonvib.Bb5.L.wav,17,17
10,C:/Users/Landon/Documents/wav_audio/Cello.arco.sulA.B3.L.wav,9,9
11,C:/Users/Landon/Documents/wav_audio/BassClarinet.E3.R.wav,3,3
12,C:/Users/Landon/Documents/wav_audio/Marimba.yarn.E4.L.wav,14,14
13,C:/Users/Landon/Documents/wav_audio/TenorTrombone.Eb4.L.wav,18,18
14,C:/Users/Landon/Documents/wav_audio/Bass.arco.sulD.B2.R.wav,2,2
15,C:/Users/Landon/Documents/wav_audio/Violin.arco.sulG.C5.L.wav,23,23
16,C:/Users/Landon/Documents/wav_audio/Bassoon.Bb1.L.wav,5,5
17,C:/Users/Landon/Documents/wav_audio/Vibraphone.shortsustain.Gb3.R.wav,21,21
18,C:/Users/Landon/Documents/wav_audio/AltoSax.NoVib.C4.R.wav,1,1
19,C:/Users/Landon/Documents/wav_audio/Violin.arco.sulD.F4.L.wav,23,23
20,C:/Users/Landon/Documents/wav_audio/Oboe.Bb5.L.wav,15,15
21,C:/Users/Landon/Documents/wav_audio/Viola.arco.sulA.Db6.R.wav,22,22
22,C:/Users/Landon/Documents/wav_audio/BbClarinet.Eb5.R.wav,7,7
23,C:/Users/Landon/Documents/wav_audio/Cello.arco.sulA.Bb4.R.wav,9,9
24,C:/Users/Landon/Documents/wav_audio/Trumpet.vib.F5.R.wav,19,19
25,C:/Users/Landon/Documents/wav_audio/Vibraphone.bow.C3.L.wav,21,21
26,C:/Users/Landon/Documents/wav_audio/Marimba.cord.C7.R.wav,14,14
27,C:/Users/Landon/Documents/wav_audio/Marimba.yarn.C2.R.wav,14,14
28,C:/Users/Landon/Documents/wav_audio/Marimba.rubber.D5.L.wav,14,14
29,C:/Users/Landon/Documents/wav_audio/Horn.Eb5.R.wav,13,13
30,C:/Users/Landon/Documents/wav_audio/bells.brass.E5.L.wav,8,8
31,C:/Users/Landon/Documents/wav_audio/Bass.arco.sulD.B2.L.wav,2,2
32,C:/Users/Landon/Documents/wav_audio/Trumpet.vib.Gb3.L.wav,19,19
33,C:/Users/Landon/Documents/wav_audio/Marimba.rubber.E4.R.wav,14,14
34,C:/Users/Landon/Documents/wav_audio/BassFlute.E5.R.wav,4,4
35,C:/Users/Landon/Documents/wav_audio/Violin.arco.sulD.Bb5.R.wav,23,23
36,C:/Users/Landon/Documents/wav_audio/Xylophone.hardrubber.Ab5.L.wav,24,14
37,C:/Users/Landon/Documents/wav_audio/EbClarinet.Bb4.R.wav,11,11
38,C:/Users/Landon/Documents/wav_audio/Marimba.yarn.E3.L.wav,14,14
39,C:/Users/Landon/Documents/wav_audio/Vibraphone.dampen.D6.R.wav,21,21
40,C:/Users/Landon/Documents/wav_audio/Cello.arco.sulG.G3.R.wav,9,9
41,C:/Users/Landon/Documents/wav_audio/Marimba.yarn.Eb5.L.wav,14,14
42,C:/Users/Landon/Documents/wav_audio/BbClarinet.Eb3.R.wav,7,7
43,C:/Users/Landon/Documents/wav_audio/Vibraphone.sustain.Db5.R.wav,21,21
44,C:/Users/Landon/Documents/wav_audio/Marimba.cord.Eb5.R.wav,14,14
45,C:/Users/Landon/Documents/wav_audio/BassFlute.G5.R.wav,4,4
46,C:/Users/Landon/Documents/wav_audio/Vibraphone.dampen.A3.R.wav,21,21
47,C:/Users/Landon/Documents/wav_audio/EbClarinet.G5.L.wav,11,11
48,C:/Users/Landon/Documents/wav_audio/Vibraphone.sustain.Ab4.R.wav,21,21
49,C:/Users/Landon/Documents/wav_audio/Marimba.cord.G2.R.wav,14,14
50,C:/Users/Landon/Documents/wav_audio/Cello.arco.sulC.G2.R.wav,9,9
51,C:/Users/Landon/Documents/wav_audio/AltoSax.NoVib.E5.R.wav,1,1
52,C:/Users/Landon/Documents/wav_audio/Xylophone.hardrubber.Db6.L.wav,24,24
53,C:/Users/Landon/Documents/wav_audio/Vibraphone.bow.E6.L.wav,21,21
54,C:/Users/Landon/Documents/wav_audio/Marimba.cord.G5.L.wav,14,14
55,C:/Users/Landon/Documents/wav_audio/Bass.arco.sulG.C4.R.wav,2,2
56,C:/Users/Landon/Documents/wav_audio/Marimba.yarn.Bb3.R.wav,14,14
57,C:/Users/Landon/Documents/wav_audio/SopSax.nonvib.D5.L.wav,17,17
58,C:/Users/Landon/Documents/wav_audio/BassClarinet.Gb3.L.wav,3,3
59,C:/Users/Landon/Documents/wav_audio/bells.brass.E6.L.wav,8,16
60,C:/Users/Landon/Documents/wav_audio/BassClarinet.Bb3.L.wav,3,3
61,C:/Users/Landon/Documents/wav_audio/Flute.vib.D4.R.wav,12,12
62,C:/Users/Landon/Documents/wav_audio/Horn.D4.L.wav,13,13
63,C:/Users/Landon/Documents/wav_audio/BassClarinet.Bb2.R.wav,3,3
