,Fullpath,Target Int,target Str
0,C:\Users\Landon\Documents\audioWAV\AltoFlute.vib.A3.L.wav,0,ALTOFLUTE
1,C:\Users\Landon\Documents\audioWAV\AltoFlute.vib.A3.R.wav,0,ALTOFLUTE
2,C:\Users\Landon\Documents\audioWAV\AltoFlute.vib.A4.L.wav,0,ALTOFLUTE
3,C:\Users\Landon\Documents\audioWAV\AltoFlute.vib.A4.R.wav,0,ALTOFLUTE
4,C:\Users\Landon\Documents\audioWAV\AltoFlute.vib.A5.L.wav,0,ALTOFLUTE
5,C:\Users\Landon\Documents\audioWAV\AltoFlute.vib.A5.R.wav,0,ALTOFLUTE
6,C:\Users\Landon\Documents\audioWAV\AltoFlute.vib.Ab3.L.wav,0,ALTOFLUTE
7,C:\Users\Landon\Documents\audioWAV\AltoFlute.vib.Ab3.R.wav,0,ALTOFLUTE
8,C:\Users\Landon\Documents\audioWAV\AltoFlute.vib.Ab4.L.wav,0,ALTOFLUTE
9,C:\Users\Landon\Documents\audioWAV\AltoFlute.vib.Ab4.R.wav,0,ALTOFLUTE
10,C:\Users\Landon\Documents\audioWAV\AltoFlute.vib.Ab5.L.wav,0,ALTOFLUTE
11,C:\Users\Landon\Documents\audioWAV\AltoFlute.vib.Ab5.R.wav,0,ALTOFLUTE
12,C:\Users\Landon\Documents\audioWAV\AltoFlute.vib.B3.L.wav,0,ALTOFLUTE
13,C:\Users\Landon\Documents\audioWAV\AltoFlute.vib.B3.R.wav,0,ALTOFLUTE
14,C:\Users\Landon\Documents\audioWAV\AltoFlute.vib.B4.L.wav,0,ALTOFLUTE
15,C:\Users\Landon\Documents\audioWAV\AltoFlute.vib.B4.R.wav,0,ALTOFLUTE
16,C:\Users\Landon\Documents\audioWAV\AltoFlute.vib.B5.L.wav,0,ALTOFLUTE
17,C:\Users\Landon\Documents\audioWAV\AltoFlute.vib.B5.R.wav,0,ALTOFLUTE
18,C:\Users\Landon\Documents\audioWAV\AltoFlute.vib.Bb3.L.wav,0,ALTOFLUTE
19,C:\Users\Landon\Documents\audioWAV\AltoFlute.vib.Bb3.R.wav,0,ALTOFLUTE
20,C:\Users\Landon\Documents\audioWAV\AltoFlute.vib.Bb4.L.wav,0,ALTOFLUTE
21,C:\Users\Landon\Documents\audioWAV\AltoFlute.vib.Bb4.R.wav,0,ALTOFLUTE
22,C:\Users\Landon\Documents\audioWAV\AltoFlute.vib.Bb5.L.wav,0,ALTOFLUTE
23,C:\Users\Landon\Documents\audioWAV\AltoFlute.vib.Bb5.R.wav,0,ALTOFLUTE
24,C:\Users\Landon\Documents\audioWAV\AltoFlute.vib.C4.L.wav,0,ALTOFLUTE
25,C:\Users\Landon\Documents\audioWAV\AltoFlute.vib.C4.R.wav,0,ALTOFLUTE
26,C:\Users\Landon\Documents\audioWAV\AltoFlute.vib.C5.L.wav,0,ALTOFLUTE
27,C:\Users\Landon\Documents\audioWAV\AltoFlute.vib.C5.R.wav,0,ALTOFLUTE
28,C:\Users\Landon\Documents\audioWAV\AltoFlute.vib.C6.L.wav,0,ALTOFLUTE
29,C:\Users\Landon\Documents\audioWAV\AltoFlute.vib.C6.R.wav,0,ALTOFLUTE
30,C:\Users\Landon\Documents\audioWAV\AltoFlute.vib.D4.L.wav,0,ALTOFLUTE
31,C:\Users\Landon\Documents\audioWAV\AltoFlute.vib.D4.R.wav,0,ALTOFLUTE
32,C:\Users\Landon\Documents\audioWAV\AltoFlute.vib.D5.L.wav,0,ALTOFLUTE
33,C:\Users\Landon\Documents\audioWAV\AltoFlute.vib.D5.R.wav,0,ALTOFLUTE
34,C:\Users\Landon\Documents\audioWAV\AltoFlute.vib.D6.L.wav,0,ALTOFLUTE
35,C:\Users\Landon\Documents\audioWAV\AltoFlute.vib.D6.R.wav,0,ALTOFLUTE
36,C:\Users\Landon\Documents\audioWAV\AltoFlute.vib.Db4.L.wav,0,ALTOFLUTE
37,C:\Users\Landon\Documents\audioWAV\AltoFlute.vib.Db4.R.wav,0,ALTOFLUTE
38,C:\Users\Landon\Documents\audioWAV\AltoFlute.vib.Db5.L.wav,0,ALTOFLUTE
39,C:\Users\Landon\Documents\audioWAV\AltoFlute.vib.Db5.R.wav,0,ALTOFLUTE
40,C:\Users\Landon\Documents\audioWAV\AltoFlute.vib.Db6.L.wav,0,ALTOFLUTE
41,C:\Users\Landon\Documents\audioWAV\AltoFlute.vib.Db6.R.wav,0,ALTOFLUTE
42,C:\Users\Landon\Documents\audioWAV\AltoFlute.vib.E4.L.wav,0,ALTOFLUTE
43,C:\Users\Landon\Documents\audioWAV\AltoFlute.vib.E4.R.wav,0,ALTOFLUTE
44,C:\Users\Landon\Documents\audioWAV\AltoFlute.vib.E5.L.wav,0,ALTOFLUTE
45,C:\Users\Landon\Documents\audioWAV\AltoFlute.vib.E5.R.wav,0,ALTOFLUTE
46,C:\Users\Landon\Documents\audioWAV\AltoFlute.vib.Eb4.L.wav,0,ALTOFLUTE
47,C:\Users\Landon\Documents\audioWAV\AltoFlute.vib.Eb4.R.wav,0,ALTOFLUTE
48,C:\Users\Landon\Documents\audioWAV\AltoFlute.vib.Eb5.L.wav,0,ALTOFLUTE
49,C:\Users\Landon\Documents\audioWAV\AltoFlute.vib.Eb5.R.wav,0,ALTOFLUTE
50,C:\Users\Landon\Documents\audioWAV\AltoFlute.vib.Eb6.L.wav,0,ALTOFLUTE
51,C:\Users\Landon\Documents\audioWAV\AltoFlute.vib.Eb6.R.wav,0,ALTOFLUTE
52,C:\Users\Landon\Documents\audioWAV\AltoFlute.vib.F4.L.wav,0,ALTOFLUTE
53,C:\Users\Landon\Documents\audioWAV\AltoFlute.vib.F4.R.wav,0,ALTOFLUTE
54,C:\Users\Landon\Documents\audioWAV\AltoFlute.vib.F5.L.wav,0,ALTOFLUTE
55,C:\Users\Landon\Documents\audioWAV\AltoFlute.vib.F5.R.wav,0,ALTOFLUTE
56,C:\Users\Landon\Documents\audioWAV\AltoFlute.vib.F6.L.wav,0,ALTOFLUTE
57,C:\Users\Landon\Documents\audioWAV\AltoFlute.vib.F6.R.wav,0,ALTOFLUTE
58,C:\Users\Landon\Documents\audioWAV\AltoFlute.vib.G3.L.wav,0,ALTOFLUTE
59,C:\Users\Landon\Documents\audioWAV\AltoFlute.vib.G3.R.wav,0,ALTOFLUTE
60,C:\Users\Landon\Documents\audioWAV\AltoFlute.vib.G4.L.wav,0,ALTOFLUTE
61,C:\Users\Landon\Documents\audioWAV\AltoFlute.vib.G4.R.wav,0,ALTOFLUTE
62,C:\Users\Landon\Documents\audioWAV\AltoFlute.vib.G5.L.wav,0,ALTOFLUTE
63,C:\Users\Landon\Documents\audioWAV\AltoFlute.vib.G5.R.wav,0,ALTOFLUTE
64,C:\Users\Landon\Documents\audioWAV\AltoFlute.vib.G6.L.wav,0,ALTOFLUTE
65,C:\Users\Landon\Documents\audioWAV\AltoFlute.vib.G6.R.wav,0,ALTOFLUTE
66,C:\Users\Landon\Documents\audioWAV\AltoFlute.vib.Gb4.L.wav,0,ALTOFLUTE
67,C:\Users\Landon\Documents\audioWAV\AltoFlute.vib.Gb4.R.wav,0,ALTOFLUTE
68,C:\Users\Landon\Documents\audioWAV\AltoFlute.vib.Gb5.L.wav,0,ALTOFLUTE
69,C:\Users\Landon\Documents\audioWAV\AltoFlute.vib.Gb5.R.wav,0,ALTOFLUTE
70,C:\Users\Landon\Documents\audioWAV\AltoFlute.vib.Gb6.L.wav,0,ALTOFLUTE
71,C:\Users\Landon\Documents\audioWAV\AltoFlute.vib.Gb6.R.wav,0,ALTOFLUTE
72,C:\Users\Landon\Documents\audioWAV\AltoSax.NoVib.A3.L.wav,1,ALTOSAX
73,C:\Users\Landon\Documents\audioWAV\AltoSax.NoVib.A3.R.wav,1,ALTOSAX
74,C:\Users\Landon\Documents\audioWAV\AltoSax.NoVib.A4.L.wav,1,ALTOSAX
75,C:\Users\Landon\Documents\audioWAV\AltoSax.NoVib.A4.R.wav,1,ALTOSAX
76,C:\Users\Landon\Documents\audioWAV\AltoSax.NoVib.Ab3.L.wav,1,ALTOSAX
77,C:\Users\Landon\Documents\audioWAV\AltoSax.NoVib.Ab3.R.wav,1,ALTOSAX
78,C:\Users\Landon\Documents\audioWAV\AltoSax.NoVib.Ab4.L.wav,1,ALTOSAX
79,C:\Users\Landon\Documents\audioWAV\AltoSax.NoVib.Ab4.R.wav,1,ALTOSAX
80,C:\Users\Landon\Documents\audioWAV\AltoSax.NoVib.Ab5.L.wav,1,ALTOSAX
81,C:\Users\Landon\Documents\audioWAV\AltoSax.NoVib.Ab5.R.wav,1,ALTOSAX
82,C:\Users\Landon\Documents\audioWAV\AltoSax.NoVib.B3.L.wav,1,ALTOSAX
83,C:\Users\Landon\Documents\audioWAV\AltoSax.NoVib.B3.R.wav,1,ALTOSAX
84,C:\Users\Landon\Documents\audioWAV\AltoSax.NoVib.B4.L.wav,1,ALTOSAX
85,C:\Users\Landon\Documents\audioWAV\AltoSax.NoVib.B4.R.wav,1,ALTOSAX
86,C:\Users\Landon\Documents\audioWAV\AltoSax.NoVib.Bb3.L.wav,1,ALTOSAX
87,C:\Users\Landon\Documents\audioWAV\AltoSax.NoVib.Bb3.R.wav,1,ALTOSAX
88,C:\Users\Landon\Documents\audioWAV\AltoSax.NoVib.Bb4.L.wav,1,ALTOSAX
89,C:\Users\Landon\Documents\audioWAV\AltoSax.NoVib.Bb4.R.wav,1,ALTOSAX
90,C:\Users\Landon\Documents\audioWAV\AltoSax.NoVib.C4.L.wav,1,ALTOSAX
91,C:\Users\Landon\Documents\audioWAV\AltoSax.NoVib.C4.R.wav,1,ALTOSAX
92,C:\Users\Landon\Documents\audioWAV\AltoSax.NoVib.C5.L.wav,1,ALTOSAX
93,C:\Users\Landon\Documents\audioWAV\AltoSax.NoVib.C5.R.wav,1,ALTOSAX
94,C:\Users\Landon\Documents\audioWAV\AltoSax.NoVib.D3.L.wav,1,ALTOSAX
95,C:\Users\Landon\Documents\audioWAV\AltoSax.NoVib.D3.R.wav,1,ALTOSAX
96,C:\Users\Landon\Documents\audioWAV\AltoSax.NoVib.D4.L.wav,1,ALTOSAX
97,C:\Users\Landon\Documents\audioWAV\AltoSax.NoVib.D4.R.wav,1,ALTOSAX
98,C:\Users\Landon\Documents\audioWAV\AltoSax.NoVib.D5.L.wav,1,ALTOSAX
99,C:\Users\Landon\Documents\audioWAV\AltoSax.NoVib.D5.R.wav,1,ALTOSAX
100,C:\Users\Landon\Documents\audioWAV\AltoSax.NoVib.Db3.L.wav,1,ALTOSAX
101,C:\Users\Landon\Documents\audioWAV\AltoSax.NoVib.Db3.R.wav,1,ALTOSAX
102,C:\Users\Landon\Documents\audioWAV\AltoSax.NoVib.Db4.L.wav,1,ALTOSAX
103,C:\Users\Landon\Documents\audioWAV\AltoSax.NoVib.Db4.R.wav,1,ALTOSAX
104,C:\Users\Landon\Documents\audioWAV\AltoSax.NoVib.Db5.L.wav,1,ALTOSAX
105,C:\Users\Landon\Documents\audioWAV\AltoSax.NoVib.Db5.R.wav,1,ALTOSAX
106,C:\Users\Landon\Documents\audioWAV\AltoSax.NoVib.E3.L.wav,1,ALTOSAX
107,C:\Users\Landon\Documents\audioWAV\AltoSax.NoVib.E3.R.wav,1,ALTOSAX
108,C:\Users\Landon\Documents\audioWAV\AltoSax.NoVib.E4.L.wav,1,ALTOSAX
109,C:\Users\Landon\Documents\audioWAV\AltoSax.NoVib.E4.R.wav,1,ALTOSAX
110,C:\Users\Landon\Documents\audioWAV\AltoSax.NoVib.E5.L.wav,1,ALTOSAX
