Class,Accuracy,Precision,Recall,F1
0,0.9961576796759463,0.4139502164502164,0.7519047619047619,0.49965256540149994
1,0.996967234071802,0.8064584538268749,0.8570157912263175,0.8046797216503518
2,0.9978188433633882,0.8865800865800866,0.7747863247863249,0.7964013716235044
3,0.9848575613895589,0.9276882125482091,0.867148373987679,0.8950944697335178
4,0.9819646796896742,0.8393338360867475,0.8927999309148561,0.8619197403892926
5,0.995980176162534,0.8316666666666667,0.6465893901420218,0.6713728721320396
6,0.9835044659181129,0.8531518080726794,0.8405232272048,0.8426604602396772
7,0.9971558146573573,0.55,0.6527777777777778,0.5487445846608718
8,0.9834229808349875,0.8487899242656229,0.882181768174559,0.8625140241887514
9,0.9981432554104952,0.9352292663476873,0.9121044310380695,0.916221404907879
10,0.9781283490297017,0.85012070522082,0.8423198010607142,0.8443633243616684
11,0.9833419961045349,0.7937783724470183,0.8545356674759141,0.8155676224620135
12,0.9988742032972528,0.7224999999999999,0.8388888888888889,0.7396915134411047
13,0.997345315185744,0.5987626262626263,0.8293181818181818,0.6770421361349996
14,0.990405109384738,0.9609841161494479,0.937723770978535,0.9481718500280412
15,0.9792274031778982,0.8528302135863652,0.8471331450586629,0.8456725668087675
16,0.9980014529461233,0.7752597402597401,0.9420202020202021,0.8377876791806512
17,0.9996684613188238,0.55,0.55,0.5333333304444444
18,0.982742071962253,0.7963316683877413,0.8491566034669505,0.8128531438543869
19,0.9962779117298293,0.5534648684648685,0.8,0.6214212669653498
20,0.9952563822141494,0.8830543104218463,0.9224960378888397,0.8967983213895817
21,0.9878920987012327,0.8929473650779313,0.8420829336748975,0.8646745388880908
22,0.9993422867090842,0.972159090909091,0.9794871794871793,0.9743274460508653
23,0.9841758166934239,0.8136118156343957,0.860572831440973,0.8322808372018875
24,0.9933838920914914,0.8902641661625328,0.7110771619684664,0.779816655333439
25,0.9972149725088639,0.8293094405594404,0.8511904761904763,0.8132836295755345
26,0.9986786381742864,0.945351966873706,0.9635177865612649,0.9523033256899943
27,0.997285359876539,0.7641666666666667,0.7661779448621554,0.7326635734713578
28,0.9926007058313402,0.6099459999102615,0.817996562261268,0.6788976895798503
29,0.9846878762410537,0.8821738379910083,0.8495675661611107,0.8599535876202491
30,0.9842655475952634,0.7929616371025905,0.8255103746085419,0.8026104605685249
31,0.9871547092512121,0.9070884336941513,0.9117802290273795,0.9061296657547935
32,0.992632309940783,0.8843483087103451,0.8158684056415453,0.8428514554977953
33,0.9773730387822276,0.8461772395010294,0.8562786863911824,0.8490636084186637
34,0.9831816488275648,0.8157000115383649,0.8637353220036725,0.831359732725353
35,0.9998629198080877,1.0,0.9928571428571429,0.9962962912969819
36,0.9982160504170106,0.9385831613347093,0.9301118205423858,0.9309880817576912
