Class,Accuracy,Precision,Recall,F1
0,0.9936587383187627,0.4355555555555556,0.4736913086913087,0.4286420550225955
1,0.990451222236149,0.43781565656565646,0.5338705738705738,0.4596539189466841
2,0.9978984999738515,0.7038311688311689,0.8838888888888888,0.7703887343822202
3,0.9714625313852739,0.8575858472115655,0.811021770973913,0.8312080043020883
4,0.9436189819808674,0.6325511003594334,0.6509341406445721,0.6318896290660031
5,0.9946403550981412,0.34404761904761905,0.5938492063492065,0.38010489141819925
6,0.9729351771857712,0.7307992061444868,0.8134970177741078,0.7650474278786689
7,0.9974288901515915,0.6096031746031746,0.6725,0.6132524295536224
8,0.9474849923142413,0.5860952900089542,0.635442365075154,0.6051466617963043
9,0.9960371789841533,0.827728121551651,0.8739974937343359,0.8411378630420463
10,0.942539450866021,0.5787512975319393,0.6655218976902239,0.6113895553181925
11,0.9733502796283761,0.7511825768911774,0.7725732764124007,0.7501744800729541
12,0.9980432881742349,0.8494444444444443,0.7979365079365078,0.773692969102335
13,0.9932441659861014,0.16837662337662337,0.2301190476190476,0.1640628791553115
14,0.9640565429199371,0.9007484494999446,0.7863443652780282,0.838819453458998
15,0.9631926951358079,0.6942851530559124,0.8138898066289579,0.7440307998215813
16,0.9977364058836489,0.7761034798534798,0.9376082251082252,0.8420473869108033
17,0.9998423564297522,0.6166666666666667,0.7,0.6466666632422223
18,0.9616310800555443,0.6942677431216906,0.6653451748173309,0.6655297137914985
19,0.9953398695681612,0.794404761904762,0.6188078588078589,0.6760472812759196
20,0.9839931365663229,0.6906943997188826,0.7414228462864612,0.7027350183041097
21,0.9739939280140257,0.7812101819844015,0.7336993572279502,0.7513560591433849
22,0.9981418459624498,0.9619257703081232,0.926935629334823,0.9414113193398839
23,0.954121510823391,0.49066706203191035,0.6018143731102173,0.5372356251325517
24,0.9964122281863567,0.9081140350877192,0.8969559030293466,0.8927179860161212
25,0.9971026908439551,0.9148659428806489,0.8353221288515407,0.8583927922730906
26,0.9989170386487661,0.9756781479390174,0.940930735930736,0.9544160000624087
27,0.9953553132623819,0.20666666666666664,0.46428571428571425,0.2626913413640543
28,0.9954857031361332,0.8317085896559583,0.9071854981600108,0.8372891032177826
29,0.9504192583569818,0.7557631107550173,0.5828912153989491,0.6512417778011198
30,0.959109437379394,0.5524048129253003,0.5958918638883368,0.5570913445236273
31,0.9826954051343906,0.881309808247349,0.9018489614045093,0.8902856162565278
32,0.9907723608417136,0.8075613275613275,0.8283400360490143,0.8123170972956977
33,0.9496185988485092,0.7529142705677857,0.70165502276404,0.7230323156321441
34,0.9619384982745137,0.6996845445472238,0.6924537591818728,0.6871862601850525
35,1.0,1.0,1.0,0.9999999949999998
36,0.9955624232283624,0.8499965376900362,0.8361458775142985,0.8326679456999845
